bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Trent Boult,10.0,1,49,1,4.9,35,5,1,2,0,New Zealand,32nd_match
Matt Henry,5.3,0,31,0,5.63,20,4,1,1,0,New Zealand,32nd_match
Tim Southee,10.0,0,77,2,7.7,19,6,3,1,0,New Zealand,32nd_match
Mitchell Santner,10.0,0,58,0,5.8,18,2,1,2,0,New Zealand,32nd_match
Glenn Phillips,7.0,0,52,0,7.42,15,2,3,2,0,New Zealand,32nd_match
Rachin Ravindra,2.0,0,17,0,8.5,6,2,1,0,0,New Zealand,32nd_match
James Neesham,5.3,0,69,1,12.54,7,5,5,0,0,New Zealand,32nd_match
Marco Jansen,8.0,1,31,3,3.87,29,3,0,1,1,South Africa,32nd_match
Lungi Ngidi,6.0,1,28,0,4.66,23,4,0,0,0,South Africa,32nd_match
Kagiso Rabada,6.0,2,16,1,2.66,27,2,0,0,0,South Africa,32nd_match
Gerald Coetzee,6.3,0,41,2,6.3,24,5,1,1,0,South Africa,32nd_match
Keshav Maharaj,9.0,0,46,4,5.11,32,3,3,0,0,South Africa,32nd_match
