bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Aryan Dutt,10.0,0,48,1,4.8,37,7,0,2,0,Netherlands,2nd_match
Logan van Beek,6.0,0,30,1,5.0,20,4,0,1,0,Netherlands,2nd_match
Colin Ackermann,8.0,1,39,2,4.87,26,1,2,0,0,Netherlands,2nd_match
Paul van Meekeren,6.0,0,40,1,6.66,16,5,0,2,0,Netherlands,2nd_match
Bas de Leede,9.0,0,62,4,6.88,22,9,0,3,0,Netherlands,2nd_match
Roelof van der Merwe,6.0,0,36,0,6.0,14,2,1,0,1,Netherlands,2nd_match
Vikramjit Singh,2.0,0,16,0,8.0,5,3,0,0,0,Netherlands,2nd_match
Saqib Zulfiqar,2.0,0,15,0,7.5,3,2,0,0,0,Netherlands,2nd_match
Shaheen Shah Afridi,7.0,0,37,1,5.28,26,5,0,2,0,Pakistan,2nd_match
Hasan Ali,7.0,1,33,2,4.71,31,6,0,4,0,Pakistan,2nd_match
Haris Rauf,9.0,0,43,3,4.77,33,5,1,2,0,Pakistan,2nd_match
Iftikhar Ahmed,3.0,0,16,1,5.33,7,1,0,0,0,Pakistan,2nd_match
Mohammad Nawaz,7.0,0,31,1,4.42,23,2,1,0,0,Pakistan,2nd_match
Shadab Khan,8.0,0,45,1,5.62,23,1,2,1,0,Pakistan,2nd_match
