bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Jasprit Bumrah,7.0,1,19,2,2.71,33,3,0,1,0,India,12th_match
Mohammed Siraj,8.0,0,50,2,6.25,22,7,0,0,0,India,12th_match
Hardik Pandya,6.0,0,34,2,5.66,20,6,0,0,0,India,12th_match
Kuldeep Yadav,10.0,0,35,2,3.5,38,4,0,0,0,India,12th_match
Ravindra Jadeja,9.5,0,38,2,3.86,35,4,0,0,0,India,12th_match
Shardul Thakur,2.0,0,12,0,6.0,6,2,0,0,0,India,12th_match
Shaheen Shah Afridi,6.0,0,36,2,6.0,21,5,1,1,0,Pakistan,12th_match
Hasan Ali,6.0,0,34,1,5.66,23,7,0,0,0,Pakistan,12th_match
Mohammad Nawaz,8.3,0,47,0,5.52,23,3,2,0,0,Pakistan,12th_match
Haris Rauf,6.0,0,43,0,7.16,14,1,3,0,0,Pakistan,12th_match
Shadab Khan,4.0,0,31,0,7.75,10,2,2,0,0,Pakistan,12th_match
