bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Marco Jansen,9.0,1,43,3,4.77,40,5,0,6,2,South Africa,26th_match
Lungi Ngidi,7.4,0,45,1,5.86,26,6,0,3,0,South Africa,26th_match
Aiden Markram,4.0,0,20,0,5.0,12,2,0,0,0,South Africa,26th_match
Keshav Maharaj,9.0,0,56,0,6.22,30,4,4,0,0,South Africa,26th_match
Gerald Coetzee,7.0,0,42,2,6.0,20,4,1,1,0,South Africa,26th_match
Tabraiz Shamsi,10.0,0,60,4,6.0,28,2,3,1,2,South Africa,26th_match
Iftikhar Ahmed,3.0,0,23,0,7.66,9,1,1,1,0,Pakistan,26th_match
Shaheen Shah Afridi,10.0,0,45,3,4.5,37,5,0,3,0,Pakistan,26th_match
Mohammad Nawaz,6.2,0,40,0,6.31,15,4,1,0,0,Pakistan,26th_match
Haris Rauf,10.0,0,62,2,6.2,29,3,3,2,0,Pakistan,26th_match
Mohammad Wasim,10.0,1,50,2,5.0,37,7,0,3,0,Pakistan,26th_match
Usama Mir,8.0,0,45,2,5.62,25,1,3,1,0,Pakistan,26th_match
