batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Quinton de Kock,c Nasum Ahmed b Hasan Mahmud,174,140,192,15,7,124.28,South Africa,23rd_match
Reeza Hendricks,b Shoriful Islam,12,19,24,1,0,63.15,South Africa,23rd_match
Rassie van der Dussen,lbw b Mehidy Hasan Miraz,1,7,6,0,0,14.28,South Africa,23rd_match
Aiden Markram,c Litton Das b Shakib Al Hasan,60,69,84,7,0,86.95,South Africa,23rd_match
Heinrich Klaasen,c Mahmudullah b Hasan Mahmud,90,49,94,2,8,183.67,South Africa,23rd_match
David Miller,not out,34,15,26,1,4,226.66,South Africa,23rd_match
Marco Jansen,not out,1,1,3,0,0,100.0,South Africa,23rd_match
Tanzid Hasan,c Klaasen b Jansen,12,17,30,1,0,70.58,Bangladesh,23rd_match
Litton Das,lbw b Rabada,22,44,78,3,1,50.0,Bangladesh,23rd_match
Najmul Hossain Shanto,c Klaasen b Jansen,0,1,1,0,0,0.0,Bangladesh,23rd_match
Shakib Al Hasan,c Klaasen b Williams,1,4,4,0,0,25.0,Bangladesh,23rd_match
Mushfiqur Rahim,c sub (AL Phehlukwayo) b Coetzee,8,17,24,1,0,47.05,Bangladesh,23rd_match
Mahmudullah,c Jansen b Coetzee,111,111,150,11,4,100.0,Bangladesh,23rd_match
Mehidy Hasan Miraz,c sub (AL Phehlukwayo) b Maharaj,11,19,26,1,0,57.89,Bangladesh,23rd_match
Nasum Ahmed,c & b Coetzee,19,19,27,3,0,100.0,Bangladesh,23rd_match
Hasan Mahmud,c Coetzee b Rabada,15,25,32,2,0,60.0,Bangladesh,23rd_match
Mustafizur Rahman,c Miller b Williams,11,21,51,2,0,52.38,Bangladesh,23rd_match
Shoriful Islam,not out,6,4,4,1,0,150.0,Bangladesh,23rd_match
