batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Rohit Sharma,c Livingstone b Rashid,87,101,162,10,3,86.13,India,29th_match
Shubman Gill,b Woakes,9,13,18,1,0,69.23,India,29th_match
Virat Kohli,c Stokes b Willey,0,9,12,0,0,0.0,India,29th_match
Shreyas Iyer,c Wood b Woakes,4,16,21,0,0,25.0,India,29th_match
KL Rahul,c Bairstow b Willey,39,58,77,3,0,67.24,India,29th_match
Suryakumar Yadav,c Woakes b Willey,49,47,75,4,1,104.25,India,29th_match
Ravindra Jadeja,lbw b Rashid,8,13,14,0,0,61.53,India,29th_match
Mohammed Shami,c Buttler b Wood,1,5,4,0,0,20.0,India,29th_match
Jasprit Bumrah,run out (Buttler),16,25,44,1,0,64.0,India,29th_match
Kuldeep Yadav,not out,9,13,18,1,0,69.23,India,29th_match
Jonny Bairstow,b Mohammed Shami,14,23,53,2,0,60.86,England,29th_match
Dawid Malan,b Bumrah,16,17,25,2,1,94.11,England,29th_match
Joe Root,lbw b Bumrah,0,1,2,0,0,0.0,England,29th_match
Ben Stokes,b Mohammed Shami,0,10,14,0,0,0.0,England,29th_match
Jos Buttler,b Kuldeep Yadav,10,23,33,1,0,43.47,England,29th_match
Moeen Ali,c Rahul b Mohammed Shami,15,31,55,0,0,48.38,England,29th_match
Liam Livingstone,lbw b Kuldeep Yadav,27,46,56,2,0,58.69,England,29th_match
Chris Woakes,st Rahul b Jadeja,10,20,21,1,0,50.0,England,29th_match
David Willey,not out,16,17,29,0,2,94.11,England,29th_match
Adil Rashid,b Mohammed Shami,13,20,19,2,0,65.0,England,29th_match
Mark Wood,b Bumrah,0,1,3,0,0,0.0,England,29th_match
