bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Aryan Dutt,10.0,0,67,2,6.7,30,5,3,1,1,Netherlands,40th_match
Logan van Beek,10.0,0,88,2,8.8,25,10,1,10,0,Netherlands,40th_match
Paul van Meekeren,10.0,0,57,1,5.7,28,5,0,5,0,Netherlands,40th_match
Bas de Leede,10.0,0,74,3,7.4,26,5,4,0,0,Netherlands,40th_match
Roelof van der Merwe,3.0,0,22,0,7.33,6,0,2,0,0,Netherlands,40th_match
Colin Ackermann,7.0,0,31,0,4.42,15,1,0,0,0,Netherlands,40th_match
Chris Woakes,7.0,0,19,1,2.71,33,2,0,2,0,England,40th_match
David Willey,7.0,2,19,2,2.71,33,3,0,0,0,England,40th_match
Gus Atkinson,7.0,0,41,0,5.85,25,4,2,1,0,England,40th_match
Moeen Ali,8.2,0,42,3,5.04,23,1,2,0,0,England,40th_match
Adil Rashid,8.0,0,54,3,6.75,22,5,2,1,0,England,40th_match
