bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Shaheen Shah Afridi,10.0,1,72,2,7.2,32,9,3,0,0,Pakistan,44th_match
Haris Rauf,10.0,0,64,3,6.4,32,7,0,3,0,Pakistan,44th_match
Iftikhar Ahmed,7.0,0,38,1,5.42,17,4,0,0,0,Pakistan,44th_match
Mohammad Wasim,10.0,0,74,2,7.4,26,7,3,1,0,Pakistan,44th_match
Shadab Khan,10.0,0,57,0,5.7,25,5,1,0,0,Pakistan,44th_match
Agha Salman,3.0,0,25,0,8.33,7,3,1,0,0,Pakistan,44th_match
David Willey,10.0,0,56,3,5.6,37,8,1,2,0,England,44th_match
Chris Woakes,5.3,0,27,1,4.9,22,5,0,0,0,England,44th_match
Adil Rashid,10.0,0,55,2,5.5,26,4,1,1,0,England,44th_match
Gus Atkinson,8.0,0,45,2,5.62,29,3,3,2,0,England,44th_match
Moeen Ali,10.0,0,60,2,6.0,27,7,1,0,0,England,44th_match
