bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Reece Topley,8.5,0,88,3,9.96,23,10,4,4,0,England,20th_match
David Willey,9.0,1,61,0,6.77,27,6,2,3,1,England,20th_match
Joe Root,6.1,0,48,0,7.78,6,2,2,0,0,England,20th_match
Gus Atkinson,9.0,0,60,2,6.66,27,6,2,1,0,England,20th_match
Mark Wood,7.0,0,76,0,10.85,9,10,2,1,0,England,20th_match
Adil Rashid,10.0,0,61,2,6.1,20,4,1,0,0,England,20th_match
Lungi Ngidi,5.0,1,26,2,5.2,23,2,2,3,0,South Africa,20th_match
Marco Jansen,5.0,0,35,2,7.0,19,4,2,1,0,South Africa,20th_match
Kagiso Rabada,6.0,1,38,1,6.33,24,6,1,0,1,South Africa,20th_match
Gerald Coetzee,4.0,0,35,3,8.75,13,5,1,1,0,South Africa,20th_match
Keshav Maharaj,2.0,0,27,1,13.5,4,1,3,0,0,South Africa,20th_match
