bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Kasun Rajitha,10.0,1,90,1,9.0,24,8,5,2,0,Sri Lanka,4th_match
Dilshan Madushanka,10.0,0,86,2,8.6,25,12,1,3,1,Sri Lanka,4th_match
Dasun Shanaka,6.0,0,36,0,6.0,10,1,1,0,0,Sri Lanka,4th_match
Dhananjaya de Silva,4.0,0,39,0,9.75,9,4,2,1,0,Sri Lanka,4th_match
Matheesha Pathirana,10.0,0,95,1,9.5,22,10,2,5,0,Sri Lanka,4th_match
Dunith Wellalage,10.0,0,81,1,8.1,27,10,3,2,0,Sri Lanka,4th_match
Lungi Ngidi,8.0,1,49,1,6.12,30,3,4,2,0,South Africa,4th_match
Marco Jansen,10.0,0,92,2,9.2,31,10,6,3,0,South Africa,4th_match
Kagiso Rabada,7.5,0,50,2,6.38,22,3,2,2,1,South Africa,4th_match
Keshav Maharaj,10.0,0,62,2,6.2,33,6,2,2,0,South Africa,4th_match
Gerald Coetzee,9.0,0,68,3,7.55,26,7,3,1,0,South Africa,4th_match
