batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Rohit Sharma,c Bavuma b Rabada,40,24,32,6,2,166.66,India,37th_match
Shubman Gill,b Maharaj,23,24,54,4,1,95.83,India,37th_match
Virat Kohli,not out,101,121,195,10,0,83.47,India,37th_match
Shreyas Iyer,c Markram b Ngidi,77,87,101,7,2,88.5,India,37th_match
KL Rahul,c van der Dussen b Jansen,8,17,29,0,0,47.05,India,37th_match
Suryakumar Yadav,c de Kock b Shamsi,22,14,19,5,0,157.14,India,37th_match
Ravindra Jadeja,not out,29,15,21,3,1,193.33,India,37th_match
Quinton de Kock,b Mohammed Siraj,5,10,9,1,0,50.0,South Africa,37th_match
Temba Bavuma,b Jadeja,11,19,39,1,0,57.89,South Africa,37th_match
Rassie van der Dussen,lbw b Mohammed Shami,13,32,55,1,0,40.62,South Africa,37th_match
Aiden Markram,c Rahul b Mohammed Shami,9,6,6,2,0,150.0,South Africa,37th_match
Heinrich Klaasen,lbw b Jadeja,1,11,12,0,0,9.09,South Africa,37th_match
David Miller,b Jadeja,11,11,17,2,0,100.0,South Africa,37th_match
Marco Jansen,c Jadeja b Kuldeep Yadav,14,30,45,1,0,46.66,South Africa,37th_match
Keshav Maharaj,b Jadeja,7,11,7,1,0,63.63,South Africa,37th_match
Kagiso Rabada,c & b Jadeja,6,26,26,0,0,23.07,South Africa,37th_match
Lungi Ngidi,b Kuldeep Yadav,0,3,7,0,0,0.0,South Africa,37th_match
Tabraiz Shamsi,not out,4,4,3,1,0,100.0,South Africa,37th_match
