batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
David Warner,c & b Kuldeep Yadav,41,52,76,6,0,78.84,Australia,5th_match
Mitchell Marsh,c Kohli b Bumrah,0,6,11,0,0,0.0,Australia,5th_match
Steven Smith,b Jadeja,46,71,112,5,0,64.78,Australia,5th_match
Marnus Labuschagne,c Rahul b Jadeja,27,41,58,1,0,65.85,Australia,5th_match
Glenn Maxwell,b Kuldeep Yadav,15,25,44,1,0,60.0,Australia,5th_match
Alex Carey,lbw b Jadeja,0,2,1,0,0,0.0,Australia,5th_match
Cameron Green,c Pandya b Ashwin,8,20,31,0,0,40.0,Australia,5th_match
Pat Cummins,c Iyer b Bumrah,15,24,26,1,1,62.5,Australia,5th_match
Mitchell Starc,c Iyer b Mohammed Siraj,28,35,58,2,1,80.0,Australia,5th_match
Adam Zampa,c Kohli b Pandya,6,20,28,0,0,30.0,Australia,5th_match
Josh Hazlewood,not out,1,1,6,0,0,100.0,Australia,5th_match
Rohit Sharma,lbw b Hazlewood,0,6,10,0,0,0.0,India,5th_match
Ishan Kishan,c Green b Starc,0,1,3,0,0,0.0,India,5th_match
Virat Kohli,c Labuschagne b Hazlewood,85,116,171,6,0,73.27,India,5th_match
Shreyas Iyer,c Warner b Hazlewood,0,3,2,0,0,0.0,India,5th_match
KL Rahul,not out,97,115,180,8,2,84.34,India,5th_match
Hardik Pandya,not out,11,8,17,0,1,137.5,India,5th_match
