bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Chris Woakes,4.0,0,41,0,10.25,13,4,2,2,0,England,13th_match
Reece Topley,8.5,1,52,1,5.88,30,5,1,3,1,England,13th_match
Sam Curran,4.0,0,46,0,11.5,9,5,2,0,2,England,13th_match
Adil Rashid,10.0,1,42,3,4.2,29,1,1,1,0,England,13th_match
Mark Wood,9.0,0,50,2,5.55,27,5,1,0,0,England,13th_match
Liam Livingstone,10.0,0,33,1,3.3,31,1,0,0,0,England,13th_match
Joe Root,4.0,0,19,1,4.75,16,2,1,0,0,England,13th_match
Mujeeb Ur Rahman,10.0,1,51,3,5.1,31,2,1,1,0,Afghanistan,13th_match
Fazalhaq Farooqi,7.0,0,50,1,7.14,23,9,0,2,0,Afghanistan,13th_match
Naveen0ul0Haq,6.0,1,44,1,7.33,17,8,0,0,1,Afghanistan,13th_match
Mohammad Nabi,6.0,0,16,2,2.66,23,0,0,1,0,Afghanistan,13th_match
Rashid Khan,9.3,1,37,3,3.89,30,3,0,0,0,Afghanistan,13th_match
Azmatullah Omarzai,2.0,0,13,0,6.5,5,2,0,0,0,Afghanistan,13th_match
