bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Mitchell Starc,10.0,0,43,2,4.3,37,5,0,4,0,Australia,14th_match
Josh Hazlewood,7.0,1,36,0,5.14,28,6,0,1,0,Australia,14th_match
Pat Cummins,7.0,0,32,2,4.57,24,4,0,1,0,Australia,14th_match
Glenn Maxwell,9.3,0,36,1,3.78,30,2,0,1,0,Australia,14th_match
Adam Zampa,8.0,1,47,4,5.87,26,5,1,2,0,Australia,14th_match
Marcus Stoinis,2.0,0,11,0,5.5,5,1,0,0,0,Australia,14th_match
Lahiru Kumara,4.0,0,47,0,11.75,8,5,2,0,0,Sri Lanka,14th_match
Dilshan Madushanka,9.0,2,38,3,4.22,34,5,0,1,0,Sri Lanka,14th_match
Maheesh Theekshana,7.0,0,49,0,7.0,19,5,2,0,0,Sri Lanka,14th_match
Dunith Wellalage,9.2,0,53,1,5.67,29,6,1,0,0,Sri Lanka,14th_match
Chamika Karunaratne,3.0,0,15,0,5.0,9,1,0,2,0,Sri Lanka,14th_match
Dhananjaya de Silva,3.0,0,13,0,4.33,8,0,0,0,0,Sri Lanka,14th_match
