bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Dilshan Madushanka,5.0,0,37,0,7.4,18,7,0,0,0,Sri Lanka,25th_match
Kasun Rajitha,7.0,0,36,2,5.14,25,5,0,1,0,Sri Lanka,25th_match
Maheesh Theekshana,8.2,1,21,1,2.52,36,1,0,3,0,Sri Lanka,25th_match
Angelo Mathews,5.0,1,14,2,2.8,17,0,0,0,0,Sri Lanka,25th_match
Lahiru Kumara,7.0,0,35,3,5.0,25,4,1,0,0,Sri Lanka,25th_match
Dhananjaya de Silva,1.0,0,10,0,10.0,2,2,0,0,0,Sri Lanka,25th_match
Chris Woakes,6.0,0,30,0,5.0,21,4,0,2,0,England,25th_match
David Willey,5.0,0,30,2,6.0,18,5,0,1,0,England,25th_match
Adil Rashid,4.4,0,39,0,8.35,9,1,3,0,0,England,25th_match
Mark Wood,4.0,0,23,0,5.75,12,3,0,0,0,England,25th_match
Liam Livingstone,3.0,0,17,0,5.66,8,2,0,0,0,England,25th_match
Moeen Ali,3.0,0,21,0,7.0,5,2,0,0,0,England,25th_match
