bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Jasprit Bumrah,10.0,1,45,1,4.5,34,5,0,0,0,India,21st_match
Mohammed Siraj,10.0,1,45,1,4.5,34,3,1,4,0,India,21st_match
Mohammed Shami,10.0,0,54,5,5.4,32,6,1,0,0,India,21st_match
Ravindra Jadeja,10.0,0,48,0,4.8,28,2,1,0,0,India,21st_match
Kuldeep Yadav,10.0,0,73,2,7.3,25,3,4,3,0,India,21st_match
Trent Boult,10.0,0,60,1,6.0,33,6,2,1,0,New Zealand,21st_match
Matt Henry,9.0,0,55,1,6.11,31,7,2,0,0,New Zealand,21st_match
Mitchell Santner,10.0,0,37,1,3.7,32,1,1,0,0,New Zealand,21st_match
Lockie Ferguson,8.0,0,63,2,7.87,22,11,0,2,0,New Zealand,21st_match
Rachin Ravindra,9.0,0,46,0,5.11,28,3,2,1,0,New Zealand,21st_match
Glenn Phillips,2.0,0,12,0,6.0,3,1,0,0,0,New Zealand,21st_match
