batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Vikramjit Singh,c Klaasen b Rabada,2,16,28,0,0,12.5,Netherlands,15th_match
Max O'Dowd,c de Kock b Jansen,18,25,33,4,0,72.0,Netherlands,15th_match
Colin Ackermann,b Coetzee,12,25,40,1,0,48.0,Netherlands,15th_match
Bas de Leede,lbw b Rabada,2,7,16,0,0,28.57,Netherlands,15th_match
Sybrand Engelbrecht,c Jansen b Ngidi,19,37,41,1,1,51.35,Netherlands,15th_match
Teja Nidamanuru,lbw b Jansen,20,25,56,3,0,80.0,Netherlands,15th_match
Scott Edwards,not out,78,69,102,10,1,113.04,Netherlands,15th_match
Logan van Beek,st de Kock b Maharaj,10,27,22,1,0,37.03,Netherlands,15th_match
Roelof van der Merwe,c de Kock b Ngidi,29,19,30,3,1,152.63,Netherlands,15th_match
Aryan Dutt,not out,23,9,14,0,3,255.55,Netherlands,15th_match
Temba Bavuma,b van der Merwe,16,31,35,2,1,51.61,South Africa,15th_match
Quinton de Kock,c Edwards b Ackermann,20,22,28,3,0,90.9,South Africa,15th_match
Rassie van der Dussen,c Dutt b van der Merwe,4,7,16,0,0,57.14,South Africa,15th_match
Aiden Markram,b van Meekeren,1,3,4,0,0,33.33,South Africa,15th_match
Heinrich Klaasen,c Vikramjit Singh b van Beek,28,28,36,4,0,100.0,South Africa,15th_match
David Miller,b van Beek,43,52,81,4,1,82.69,South Africa,15th_match
Marco Jansen,b van Meekeren,9,25,22,0,0,36.0,South Africa,15th_match
Gerald Coetzee,c Edwards b de Leede,22,23,33,2,1,95.65,South Africa,15th_match
Keshav Maharaj,c Edwards b van Beek,40,37,54,5,1,108.1,South Africa,15th_match
Kagiso Rabada,c Engelbrecht b de Leede,9,6,9,0,1,150.0,South Africa,15th_match
Lungi Ngidi,not out,7,24,35,0,0,29.16,South Africa,15th_match
