over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,5.76,288,6,New Zealand,16th-Match,1384407
34.4,4.00,139,10,Afghanistan,16th-Match,1384407
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
43,5.69,245,8,Netherlands,15th-Match,1384406
42.5,4.83,207,10,South Africa,15th-Match,1384406
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
43.3,4.80,209,10,Sri Lanka,14th-Match,1384405
35.2,6.08,215,5,Australia,14th-Match,1384405
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
49.5,5.69,284,10,Afghanistan,13th-Match,1384404
40.3,5.30,215,10,England,13th-Match,1384404
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
42.5,4.45,191,10,Pakistan,12th-Match,1384403
30.3,6.29,192,3,India,12th-Match,1384403
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,4.90,245,9,Bangladesh,11th-Match,1384402
42.5,5.78,248,2,New Zealand,11th-Match,1384402
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,6.22,311,7,South Africa,10th-Match,1384401
40.5,4.33,177,10,Australia,10th-Match,1384401
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,5.44,272,8,Afghanistan,9th-Match,1384400
35,7.80,273,2,India,9th-Match,1384400
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,6.88,344,9,Sri Lanka,8th-Match,1384399
48.2,7.13,345,4,Pakistan,8th-Match,1384399
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,7.28,364,9,England,7th-Match,1384398
48.2,4.69,227,10,Bangladesh,7th-Match,1384398
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,6.44,322,7,New Zealand,6th-Match,1384397
46.3,4.79,223,10,Netherlands,6th-Match,1384397
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
49.3,4.02,199,10,Australia,5th-Match,1384396
41.2,4.86,201,4,India,5th-Match,1384396
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,8.56,428,5,South Africa,4th-Match,1384395
44.5,7.27,326,10,Sri Lanka,4th-Match,1384395
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
37.2,4.17,156,10,Afghanistan,3rd-Match,1384394
34.4,4.55,158,4,Bangladesh,3rd-Match,1384394
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
49,5.83,286,10,Pakistan,2nd-Match,1384393
41,5.00,205,10,Netherlands,2nd-Match,1384393
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,5.64,282,9,England,1st-Match,1384392
36.2,7.78,283,1,New Zealand,1st-Match,1384392
