batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Tanzid Hasan,c & b Abbott,36,34,55,6,0,105.88,Bangladesh,43rd_match
Litton Das,c Labuschagne b Zampa,36,45,76,5,0,80.0,Bangladesh,43rd_match
Najmul Hossain Shanto,run out (Labuschagne/Inglis),45,57,59,6,0,78.94,Bangladesh,43rd_match
Towhid Hridoy,c Labuschagne b Stoinis,74,79,121,5,2,93.67,Bangladesh,43rd_match
Mahmudullah,run out (Labuschagne),32,28,34,1,3,114.28,Bangladesh,43rd_match
Mushfiqur Rahim,c Cummins b Zampa,21,24,27,0,1,87.5,Bangladesh,43rd_match
Mehidy Hasan Miraz,c Cummins b Abbott,29,20,33,4,0,145.0,Bangladesh,43rd_match
Nasum Ahmed,run out (Abbott),7,11,15,0,0,63.63,Bangladesh,43rd_match
Mahedi Hasan,not out,2,3,4,0,0,66.66,Bangladesh,43rd_match
Taskin Ahmed,not out,0,1,2,0,0,0.0,Bangladesh,43rd_match
Travis Head,b Taskin Ahmed,10,11,11,2,0,90.9,Australia,43rd_match
David Warner,c Najmul Hossain Shanto b Mustafizur Rahman,53,61,90,6,0,86.88,Australia,43rd_match
Mitchell Marsh,not out,177,132,177,17,9,134.09,Australia,43rd_match
Steven Smith,not out,63,64,99,4,1,98.43,Australia,43rd_match
