bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
David Willey,10.0,1,48,1,4.8,31,4,0,1,0,England,36th_match
Chris Woakes,9.3,0,54,4,5.68,31,5,1,0,0,England,36th_match
Mark Wood,10.0,0,70,2,7.0,27,9,0,3,0,England,36th_match
Liam Livingstone,6.0,0,42,1,7.0,10,2,1,0,0,England,36th_match
Moeen Ali,4.0,0,28,0,7.0,9,4,0,0,0,England,36th_match
Adil Rashid,10.0,0,38,2,3.8,34,1,1,0,0,England,36th_match
Mitchell Starc,10.0,0,66,2,6.6,29,7,1,4,0,Australia,36th_match
Josh Hazlewood,9.1,1,49,2,5.34,34,6,1,2,0,Australia,36th_match
Pat Cummins,10.0,1,49,2,4.9,32,5,1,0,0,Australia,36th_match
Adam Zampa,10.0,0,21,3,2.1,41,0,0,2,0,Australia,36th_match
Travis Head,5.0,0,28,0,5.6,12,0,2,0,0,Australia,36th_match
Marcus Stoinis,4.0,0,34,1,8.5,8,4,1,0,0,Australia,36th_match
