bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Mujeeb Ur Rahman,10.0,0,38,2,3.8,29,2,0,0,0,Afghanistan,30th_match
Fazalhaq Farooqi,10.0,1,34,4,3.4,42,3,1,0,0,Afghanistan,30th_match
Naveen0ul0Haq,6.3,0,47,0,7.23,16,5,1,2,0,Afghanistan,30th_match
Azmatullah Omarzai,7.0,0,37,1,5.28,22,5,0,1,0,Afghanistan,30th_match
Rashid Khan,10.0,0,50,1,5.0,27,3,0,2,0,Afghanistan,30th_match
Mohammad Nabi,6.0,0,33,0,5.5,11,1,0,0,0,Afghanistan,30th_match
Dilshan Madushanka,9.0,0,48,2,5.33,28,4,1,3,0,Sri Lanka,30th_match
Kasun Rajitha,10.0,0,48,1,4.8,37,4,1,2,0,Sri Lanka,30th_match
Angelo Mathews,3.0,0,18,0,6.0,8,2,0,0,0,Sri Lanka,30th_match
Dushmantha Chameera,9.2,0,51,0,5.46,29,4,2,0,0,Sri Lanka,30th_match
Maheesh Theekshana,10.0,0,55,0,5.5,25,3,1,3,0,Sri Lanka,30th_match
Dhananjaya de Silva,4.0,0,21,0,5.25,9,2,0,0,0,Sri Lanka,30th_match
