bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Matt Henry,6.2,0,67,1,10.57,21,8,4,2,2,New Zealand,27th_match
Trent Boult,10.0,0,77,3,7.7,25,7,3,3,0,New Zealand,27th_match
Lockie Ferguson,3.0,0,38,0,12.66,6,3,3,0,0,New Zealand,27th_match
Mitchell Santner,10.0,0,80,2,8.0,23,6,4,1,0,New Zealand,27th_match
Glenn Phillips,10.0,0,37,3,3.7,30,2,0,0,0,New Zealand,27th_match
Rachin Ravindra,8.0,0,56,0,7.0,18,5,2,0,0,New Zealand,27th_match
James Neesham,2.0,0,32,1,16.0,4,1,4,0,0,New Zealand,27th_match
Mitchell Starc,9.0,0,89,0,9.88,21,6,3,9,0,Australia,27th_match
Josh Hazlewood,9.0,0,70,2,7.77,24,9,2,1,0,Australia,27th_match
Pat Cummins,10.0,0,66,2,6.6,26,7,1,3,0,Australia,27th_match
Glenn Maxwell,10.0,0,62,1,6.2,22,4,2,0,0,Australia,27th_match
Adam Zampa,10.0,0,74,3,7.4,22,6,3,0,0,Australia,27th_match
Mitchell Marsh,2.0,0,18,0,9.0,3,1,1,1,0,Australia,27th_match
