batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Vikramjit Singh,c Shakib Al Hasan b Taskin Ahmed,3,9,7,0,0,33.33,Netherlands,28th_match
Max O'Dowd,c Tanzid Hasan b Shoriful Islam,0,3,11,0,0,0.0,Netherlands,28th_match
Wesley Barresi,c Shakib Al Hasan b Mustafizur Rahman,41,41,49,8,0,100.0,Netherlands,28th_match
Colin Ackermann,c Mustafizur Rahman b Shakib Al Hasan,15,33,50,1,0,45.45,Netherlands,28th_match
Scott Edwards,c Mehidy Hasan Miraz b Mustafizur Rahman,68,89,122,6,0,76.4,Netherlands,28th_match
Bas de Leede,c Mushfiqur Rahim b Taskin Ahmed,17,32,49,2,0,53.12,Netherlands,28th_match
Sybrand Engelbrecht,lbw b Mahedi Hasan,35,61,72,3,0,57.37,Netherlands,28th_match
Logan van Beek,not out,23,16,33,2,1,143.75,Netherlands,28th_match
Shariz Ahmad,run out (Mahmudullah/Mushfiqur Rahim),6,8,13,0,0,75.0,Netherlands,28th_match
Aryan Dutt,c Mehidy Hasan Miraz b Shoriful Islam,9,6,7,0,1,150.0,Netherlands,28th_match
Paul van Meekeren,lbw b Mahedi Hasan,0,2,6,0,0,0.0,Netherlands,28th_match
Litton Das,c Edwards b Dutt,3,12,20,0,0,25.0,Bangladesh,28th_match
Tanzid Hasan,c Edwards b van Beek,15,16,25,3,0,93.75,Bangladesh,28th_match
Mehidy Hasan Miraz,c Edwards b de Leede,35,40,51,5,1,87.5,Bangladesh,28th_match
Najmul Hossain Shanto,c van Beek b van Meekeren,9,18,27,2,0,50.0,Bangladesh,28th_match
Shakib Al Hasan,c Edwards b van Meekeren,5,14,14,0,0,35.71,Bangladesh,28th_match
Mushfiqur Rahim,b van Meekeren,1,5,9,0,0,20.0,Bangladesh,28th_match
Mahmudullah,c Dutt b de Leede,20,41,70,2,0,48.78,Bangladesh,28th_match
Mahedi Hasan,run out (de Leede),17,38,51,1,0,44.73,Bangladesh,28th_match
Taskin Ahmed,c de Leede b van Meekeren,11,35,49,1,0,31.42,Bangladesh,28th_match
Mustafizur Rahman,b Ackermann,20,35,34,2,1,57.14,Bangladesh,28th_match
Shoriful Islam,not out,0,0,1,0,0,0.0,Bangladesh,28th_match
