bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
David Willey,10.0,2,45,3,4.5,39,4,2,0,0,England,29th_match
Chris Woakes,9.0,1,33,2,3.66,36,3,0,1,0,England,29th_match
Adil Rashid,10.0,0,35,2,3.5,35,3,0,0,0,England,29th_match
Mark Wood,9.0,1,46,1,5.11,32,3,2,2,0,England,29th_match
Liam Livingstone,4.0,1,29,0,7.25,13,5,0,0,0,England,29th_match
Moeen Ali,8.0,0,37,0,4.62,19,2,0,0,0,England,29th_match
Jasprit Bumrah,6.5,1,32,3,4.68,31,3,2,2,0,India,29th_match
Mohammed Siraj,6.0,0,33,0,5.5,22,3,1,2,0,India,29th_match
Mohammed Shami,7.0,2,22,4,3.14,33,3,0,2,0,India,29th_match
Kuldeep Yadav,8.0,0,24,2,3.0,28,1,0,0,0,India,29th_match
Ravindra Jadeja,7.0,1,16,1,2.28,27,0,0,0,0,India,29th_match
