bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Shaheen Shah Afridi,9.0,0,66,1,7.33,27,9,1,4,0,Pakistan,8th_match
Hasan Ali,10.0,0,71,4,7.1,32,6,4,3,1,Pakistan,8th_match
Mohammad Nawaz,9.0,0,62,1,6.88,23,7,1,0,0,Pakistan,8th_match
Haris Rauf,10.0,0,64,2,6.4,30,6,2,1,0,Pakistan,8th_match
Shadab Khan,8.0,0,55,1,6.87,20,6,1,0,0,Pakistan,8th_match
Iftikhar Ahmed,4.0,0,22,0,5.5,11,2,0,1,0,Pakistan,8th_match
Maheesh Theekshana,10.0,0,59,1,5.9,23,3,0,1,0,Sri Lanka,8th_match
Dilshan Madushanka,9.2,0,60,2,6.42,27,5,1,2,1,Sri Lanka,8th_match
Dasun Shanaka,5.0,0,28,0,5.6,10,2,0,0,0,Sri Lanka,8th_match
Matheesha Pathirana,9.0,0,90,1,10.0,14,8,1,9,0,Sri Lanka,8th_match
Dunith Wellalage,10.0,0,62,0,6.2,24,4,2,0,0,Sri Lanka,8th_match
Dhananjaya de Silva,4.0,0,36,0,9.0,7,3,2,0,0,Sri Lanka,8th_match
Charith Asalanka,1.0,0,10,0,10.0,1,1,0,0,0,Sri Lanka,8th_match
