batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
David Warner,c & b Phillips,81,65,77,5,6,124.61,Australia,27th_match
Travis Head,b Phillips,109,67,94,10,7,162.68,Australia,27th_match
Mitchell Marsh,b Santner,36,51,65,2,0,70.58,Australia,27th_match
Steven Smith,c Boult b Phillips,18,17,19,2,0,105.88,Australia,27th_match
Marnus Labuschagne,c Ravindra b Santner,18,26,36,2,0,69.23,Australia,27th_match
Glenn Maxwell,c Boult b Neesham,41,24,37,5,2,170.83,Australia,27th_match
Josh Inglis,c Phillips b Boult,38,28,48,4,1,135.71,Australia,27th_match
Pat Cummins,lbw b Boult,37,14,23,2,4,264.28,Australia,27th_match
Mitchell Starc,c Neesham b Henry,1,3,7,0,0,33.33,Australia,27th_match
Adam Zampa,b Boult,0,3,2,0,0,0.0,Australia,27th_match
Josh Hazlewood,not out,0,0,1,0,0,0.0,Australia,27th_match
Devon Conway,c Starc b Hazlewood,28,17,35,6,0,164.7,New Zealand,27th_match
Will Young,c Starc b Hazlewood,32,37,44,4,1,86.48,New Zealand,27th_match
Rachin Ravindra,c Labuschagne b Cummins,116,89,137,9,5,130.33,New Zealand,27th_match
Daryl Mitchell,c Starc b Zampa,54,51,59,6,1,105.88,New Zealand,27th_match
Tom Latham,c Hazlewood b Zampa,21,22,29,2,0,95.45,New Zealand,27th_match
Glenn Phillips,c Labuschagne b Maxwell,12,16,21,1,0,75.0,New Zealand,27th_match
James Neesham,run out (Labuschagne/Inglis),58,39,64,3,3,148.71,New Zealand,27th_match
Mitchell Santner,c Maxwell b Zampa,17,12,13,1,1,141.66,New Zealand,27th_match
Matt Henry,c Hazlewood b Cummins,9,8,14,1,0,112.5,New Zealand,27th_match
Trent Boult,not out,10,8,21,0,1,125.0,New Zealand,27th_match
Lockie Ferguson,not out,0,1,1,0,0,0.0,New Zealand,27th_match
