bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Trent Boult,10.0,0,45,2,4.5,37,5,1,2,0,New Zealand,11th_match
Matt Henry,10.0,0,58,2,5.8,27,6,0,0,1,New Zealand,11th_match
Lockie Ferguson,10.0,0,49,3,4.9,44,4,3,2,2,New Zealand,11th_match
Mitchell Santner,10.0,1,31,1,3.1,36,2,0,0,0,New Zealand,11th_match
Glenn Phillips,2.0,0,13,1,6.5,8,1,1,0,1,New Zealand,11th_match
Rachin Ravindra,7.0,0,37,0,5.28,22,2,2,0,0,New Zealand,11th_match
Daryl Mitchell,1.0,0,11,0,11.0,1,0,1,0,0,New Zealand,11th_match
Mustafizur Rahman,8.0,0,36,1,4.5,26,3,0,3,0,Bangladesh,11th_match
Shoriful Islam,7.5,1,43,0,5.48,30,5,1,3,0,Bangladesh,11th_match
Taskin Ahmed,8.0,0,56,0,7.0,20,6,1,3,0,Bangladesh,11th_match
Shakib Al Hasan,10.0,0,54,1,5.4,30,2,3,0,0,Bangladesh,11th_match
Mehidy Hasan Miraz,9.0,0,58,0,6.44,17,4,1,1,0,Bangladesh,11th_match
