bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Taskin Ahmed,6.0,0,32,1,5.33,23,3,1,1,0,Bangladesh,3rd_match
Shoriful Islam,6.2,1,34,2,5.36,23,5,0,2,0,Bangladesh,3rd_match
Mustafizur Rahman,7.0,1,28,1,4.0,26,2,1,0,0,Bangladesh,3rd_match
Shakib Al Hasan,8.0,0,30,3,3.75,28,3,0,0,0,Bangladesh,3rd_match
Mehidy Hasan Miraz,9.0,3,25,3,2.77,38,1,0,1,0,Bangladesh,3rd_match
Mahmudullah,1.0,0,7,0,7.0,3,1,0,0,0,Bangladesh,3rd_match
Fazalhaq Farooqi,5.0,0,19,1,3.8,22,2,0,2,0,Afghanistan,3rd_match
Mujeeb Ur Rahman,7.0,0,30,0,4.28,26,3,1,0,0,Afghanistan,3rd_match
Naveen0ul0Haq,5.4,0,31,1,5.47,14,2,0,1,1,Afghanistan,3rd_match
Rashid Khan,9.0,0,48,0,5.33,24,5,0,0,0,Afghanistan,3rd_match
Mohammad Nabi,6.0,1,18,0,3.0,20,0,0,1,0,Afghanistan,3rd_match
Azmatullah Omarzai,2.0,0,9,1,4.5,7,1,0,0,0,Afghanistan,3rd_match
