batsmen,dismissed,runs_scored,balls_faced,minutes_played,fours,sixes,strike_rate,team,match_name,innings,scorecard_id
David Willey,run out (Muzarabani/Smith),11,9,12,1,0,122.22,Abu Dhabi Knight Riders,28th-Match,1st,1406916
Sagar Kalyan,b Jordan,0,1,1,0,0,0.0,Abu Dhabi Knight Riders,28th-Match,1st,1406916
Sunil Narine,run out (Overton/Vince),2,3,7,0,0,66.66,Abu Dhabi Knight Riders,28th-Match,1st,1406916
Josh Little,not out,0,0,1,0,0,0.0,Abu Dhabi Knight Riders,28th-Match,1st,1406916
Ahmed Shehzad,c Ross b Taskin Ahmed,10,8,12,2,0,125.0,Fortune Barishal,28th-Match,1st,1412301
Tamim Iqbal,c Meherob b Shoriful Islam,4,4,8,1,0,100.0,Fortune Barishal,28th-Match,1st,1412301
Soumya Sarkar,not out,75,48,37,4,6,156.25,Fortune Barishal,28th-Match,1st,1412301
Mushfiqur Rahim,b Taskin Ahmed,1,3,4,0,0,33.33,Fortune Barishal,28th-Match,1st,1412301
Mahmudullah,c Tahjibul Islam b Shoriful Islam,73,47,72,7,4,155.31,Fortune Barishal,28th-Match,1st,1412301
Shoaib Malik,not out,19,10,14,2,1,190.0,Fortune Barishal,28th-Match,1st,1412301
Sabbir Hossain,c Mushfiqur Rahim b Akif Javed,5,8,6,1,0,62.5,Durdanto Dhaka,28th-Match,1st,1412301
Mohammad Naim,c Tamim Iqbal b McCoy,10,11,22,2,0,90.9,Durdanto Dhaka,28th-Match,1st,1412301
Saif Hassan,c Mushfiqur Rahim b Mohammad Saifuddin,12,13,22,1,1,92.3,Durdanto Dhaka,28th-Match,1st,1412301
Alex Ross,c McCoy b Mohammad Saifuddin,52,30,71,5,3,173.33,Durdanto Dhaka,28th-Match,1st,1412301
SM Meherob,c Mushfiqur Rahim b Mehidy Hasan Miraz,28,29,28,3,1,96.55,Durdanto Dhaka,28th-Match,1st,1412301
Chaturanga de Silva,run out (sub [Pritom Kumar]),4,4,6,0,0,100.0,Durdanto Dhaka,28th-Match,1st,1412301
Tahjibul Islam,c & b Mohammad Saifuddin,7,5,7,0,1,140.0,Durdanto Dhaka,28th-Match,1st,1412301
Lahiru Samarakoon,run out (Soumya Sarkar),0,2,3,0,0,0.0,Durdanto Dhaka,28th-Match,1st,1412301
Taskin Ahmed,c Taijul Islam b McCoy,12,6,10,1,1,200.0,Durdanto Dhaka,28th-Match,1st,1412301
Shoriful Islam,b Mehidy Hasan Miraz,7,8,10,0,1,87.5,Durdanto Dhaka,28th-Match,1st,1412301
Arafat Sunny,not out,1,2,4,0,0,50.0,Durdanto Dhaka,28th-Match,1st,1412301
Rony Talukdar,c Shahadat Hossain b Nihaduzzaman,24,17,29,3,1,141.17,Rangpur Riders,27th-Match,1st,1412300
Reeza Hendricks,c Brown b Salauddin Sakil,58,41,59,5,3,141.46,Rangpur Riders,27th-Match,1st,1412300
Shakib Al Hasan,c Bruce b Salauddin Sakil,27,16,27,3,1,168.75,Rangpur Riders,27th-Match,1st,1412300
Nurul Hasan,not out,31,21,41,2,1,147.61,Rangpur Riders,27th-Match,1st,1412300
James Neesham,not out,51,26,39,5,3,196.15,Rangpur Riders,27th-Match,1st,1412300
Josh Brown,b Shakib Al Hasan,10,9,10,0,1,111.11,Chattogram Challengers,27th-Match,1st,1412300
Shykat Ali,run out (sub [Hasan Murad]/Nurul Hasan),63,45,75,1,6,140.0,Chattogram Challengers,27th-Match,1st,1412300
Tom Bruce,lbw b Imran Tahir,14,13,15,2,0,107.69,Chattogram Challengers,27th-Match,1st,1412300
Shahadat Hossain,c Neesham b Shakib Al Hasan,9,13,14,1,0,69.23,Chattogram Challengers,27th-Match,1st,1412300
Curtis Campher,c Shamim Hossain b Neesham,24,21,24,2,1,114.28,Chattogram Challengers,27th-Match,1st,1412300
Shuvagata Hom,not out,31,13,18,3,2,238.46,Chattogram Challengers,27th-Match,1st,1412300
Shohidul Islam,c Hendricks b Neesham,1,4,4,0,0,25.0,Chattogram Challengers,27th-Match,1st,1412300
Nihaduzzaman,not out,2,2,4,0,0,100.0,Chattogram Challengers,27th-Match,1st,1412300
Shreya Shahi,run out (Kadayat/Saud),6,11,0,1,0,54.54,Gandaki WU19,2nd-Match,1st,1420189
Serina Thapa,run out (Thapa),2,2,0,0,0,100.0,Gandaki WU19,2nd-Match,1st,1420189
Seemana KC,c & b Mahara,21,26,0,3,0,80.76,Gandaki WU19,2nd-Match,1st,1420189
Jyotsnika Marasini,not out,71,58,0,6,2,122.41,Gandaki WU19,2nd-Match,1st,1420189
Rachana Chaudhary,not out,16,27,0,0,0,59.25,Gandaki WU19,2nd-Match,1st,1420189
Neelam Pandeya,lbw b Godar,0,1,0,0,0,0.0,Sudur P WU19,2nd-Match,1st,1420189
Manisha Bohara,b Tiwari,1,8,0,0,0,12.5,Sudur P WU19,2nd-Match,1st,1420189
Sabitri Dhami,c Marasini b Tiwari,24,18,0,3,0,133.33,Sudur P WU19,2nd-Match,1st,1420189
Sneha Mahara,b Seemana KC,10,15,0,1,0,66.66,Sudur P WU19,2nd-Match,1st,1420189
Anu Kadayat,b Chaudhary,8,9,0,1,0,88.88,Sudur P WU19,2nd-Match,1st,1420189
Chetana Kunwar,b Seemana KC,1,3,0,0,0,33.33,Sudur P WU19,2nd-Match,1st,1420189
Ganga Khadka,c & b Chaudhary,18,14,0,3,0,128.57,Sudur P WU19,2nd-Match,1st,1420189
Rabina Saud,c Serina Thapa b Chaudhary,1,4,0,0,0,25.0,Sudur P WU19,2nd-Match,1st,1420189
Sabina Negi,run out (Bhujel),3,7,0,0,0,42.85,Sudur P WU19,2nd-Match,1st,1420189
Karishma Thapa,c Serina Thapa b Niruta GT,7,13,0,0,0,53.84,Sudur P WU19,2nd-Match,1st,1420189
Janaki Thapa,not out,15,9,0,3,0,166.66,Sudur P WU19,2nd-Match,1st,1420189
Sana Praveen,not out,40,57,0,3,0,70.17,KM-XIW U19,1st-Match,1st,1420188
Kiran Kunwar,c Magar b Tiwari,7,13,0,1,0,53.84,KM-XIW U19,1st-Match,1st,1420188
Trisana Bishwokarma,b Pathak,12,15,0,2,0,80.0,KM-XIW U19,1st-Match,1st,1420188
Pratima Sah,run out (Budhamagar),14,22,0,1,0,63.63,KM-XIW U19,1st-Match,1st,1420188
Alisha Yadav,not out,7,13,0,0,0,53.84,KM-XIW U19,1st-Match,1st,1420188
Saru Tiwari,lbw b Aarti Mahato,9,15,0,2,0,60.0,Lumbini WU19,1st-Match,1st,1420188
Ashma Pulami Magar,c Sah b Haimwoti Roy,4,14,0,1,0,28.57,Lumbini WU19,1st-Match,1st,1420188
Angee Pathak,lbw b Riya Sharma,1,4,0,0,0,25.0,Lumbini WU19,1st-Match,1st,1420188
Sushmita Bhusal,b Riya Sharma,16,17,0,2,0,94.11,Lumbini WU19,1st-Match,1st,1420188
Kamana Bist,c Praveen b Riya Sharma,0,6,0,0,0,0.0,Lumbini WU19,1st-Match,1st,1420188
Sumnima Nepali,lbw b Kamati,0,13,0,0,0,0.0,Lumbini WU19,1st-Match,1st,1420188
Kabita Khadka,lbw b Kamati,1,6,0,0,0,16.66,Lumbini WU19,1st-Match,1st,1420188
Supriya Budhamagar,b Sah,2,8,0,0,0,25.0,Lumbini WU19,1st-Match,1st,1420188
Deepa Kunwar,b Bishwokarma,0,1,0,0,0,0.0,Lumbini WU19,1st-Match,1st,1420188
Rama Neupane,c Praveen b Bishwokarma,0,4,0,0,0,0.0,Lumbini WU19,1st-Match,1st,1420188
Sirisha Chaudhary,not out,0,1,0,0,0,0.0,Lumbini WU19,1st-Match,1st,1420188
Ngawang Choden,b Aishath Meesa Rameez,9,9,0,1,0,100.0,Bhutan Women,8th-Match,1st,1419913
Yeshey Choden,lbw b Latsha Haleemath,9,23,0,0,0,39.13,Bhutan Women,8th-Match,1st,1419913
Tshering Zangmo,c Nabaa Naseem b Aishath Meesa Rameez,8,9,0,0,0,88.88,Bhutan Women,8th-Match,1st,1419913
Karma Dema,b Nabaa Naseem,16,26,0,0,0,61.53,Bhutan Women,8th-Match,1st,1419913
Dechen Wangmo,b Nabaa Naseem,36,35,0,3,0,102.85,Bhutan Women,8th-Match,1st,1419913
Sonam Choden,run out (Sumayya Abdul),3,10,0,0,0,30.0,Bhutan Women,8th-Match,1st,1419913
Anju Gurung,b Nabaa Naseem,0,1,0,0,0,0.0,Bhutan Women,8th-Match,1st,1419913
Sonam,b Latsha Haleemath,7,10,0,0,0,70.0,Bhutan Women,8th-Match,1st,1419913
Chado Om,not out,4,4,0,0,0,100.0,Bhutan Women,8th-Match,1st,1419913
Nabaa Naseem,b Gurung,0,3,0,0,0,0.0,Maldives Women,8th-Match,1st,1419913
Sajaa Fathimath,b Gurung,1,11,0,0,0,9.09,Maldives Women,8th-Match,1st,1419913
Latsha Haleemath,lbw b Gurung,0,1,0,0,0,0.0,Maldives Women,8th-Match,1st,1419913
Sumayya Abdul,c Gurung b Y Choden,15,56,0,2,0,26.78,Maldives Women,8th-Match,1st,1419913
Fathimath Malha,c Y Choden b Zangmo,1,6,0,0,0,16.66,Maldives Women,8th-Match,1st,1419913
Hamza Niyaz,b N Choden,3,12,0,0,0,25.0,Maldives Women,8th-Match,1st,1419913
Hawwa Shaaiqa,b N Choden,0,2,0,0,0,0.0,Maldives Women,8th-Match,1st,1419913
Hafsaa Abdhulla,b N Choden,0,2,0,0,0,0.0,Maldives Women,8th-Match,1st,1419913
Aishath Meesa Rameez,c Dema b Zangmo,0,2,0,0,0,0.0,Maldives Women,8th-Match,1st,1419913
Fathimath Anaal,b Y Choden,0,11,0,0,0,0.0,Maldives Women,8th-Match,1st,1419913
Shamma Ali,not out,0,3,0,0,0,0.0,Maldives Women,8th-Match,1st,1419913
Tharanga Gajanayake,b Mare,4,11,0,0,0,36.36,Bahrain Women,7th-Match,1st,1419912
Ishara Suhun,lbw b Aysha,0,4,0,0,0,0.0,Bahrain Women,7th-Match,1st,1419912
Deepika Rasangika,b Thapa,18,13,0,3,0,138.46,Bahrain Women,7th-Match,1st,1419912
Abeera Waris,c Aysha b Dhadwal,7,14,0,0,0,50.0,Bahrain Women,7th-Match,1st,1419912
Asha Samildeen,c Mare b Panayan,1,19,0,0,0,5.26,Bahrain Women,7th-Match,1st,1419912
Pavithra Shetty,c Taful Elkhair b Panayan,4,3,0,1,0,133.33,Bahrain Women,7th-Match,1st,1419912
Shashikala Prakash,lbw b Panayan,3,14,0,0,0,21.42,Bahrain Women,7th-Match,1st,1419912
Poorvaja Jagdeesha,b Dhadwal,1,2,0,0,0,50.0,Bahrain Women,7th-Match,1st,1419912
Swarna Nunna,b Panayan,0,1,0,0,0,0.0,Bahrain Women,7th-Match,1st,1419912
Sadamali Bhakshala,not out,4,13,0,0,0,30.76,Bahrain Women,7th-Match,1st,1419912
Sana Butt,run out (Khadija Imtiaz),2,12,0,0,0,16.66,Bahrain Women,7th-Match,1st,1419912
Saachi Dhadwal,c Rasangika b Sadamali Bhakshala,5,8,0,0,0,62.5,Qatar Women,7th-Match,1st,1419912
Angeline Mare,st Sana Butt b Abeera Waris,11,17,0,1,0,64.7,Qatar Women,7th-Match,1st,1419912
Aysha,c & b Rasangika,27,17,0,5,0,158.82,Qatar Women,7th-Match,1st,1419912
Shrutiben Rana,not out,7,11,0,0,0,63.63,Qatar Women,7th-Match,1st,1419912
Sabeeja Panayan,not out,7,6,0,1,0,116.66,Qatar Women,7th-Match,1st,1419912
Hinase Goto,c & b Dcosta,44,45,0,4,0,97.77,Japan Women,6th-Match,1st,1419911
Erika Oda,c Saldanha b Alifiya Sayed,1,8,0,0,0,12.5,Japan Women,6th-Match,1st,1419911
Mai Yanagida,not out,64,57,0,4,1,112.28,Japan Women,6th-Match,1st,1419911
Haruna Iwasaki,run out (Dcosta/Mendonca),3,6,0,0,0,50.0,Japan Women,6th-Match,1st,1419911
Ahilya Chandel,run out (Shetty),1,2,0,0,0,50.0,Japan Women,6th-Match,1st,1419911
Shimako Kato,not out,1,2,0,0,0,50.0,Japan Women,6th-Match,1st,1419911
Sakshi Shetty,c Kusuda-Nairn b Chandel,0,2,0,0,0,0.0,Oman Women,6th-Match,1st,1419911
Nitya Joshi,run out (Goto/Kano),43,53,0,2,0,81.13,Oman Women,6th-Match,1st,1419911
Javed Hina,c Iwasaki b Kato,24,26,0,4,0,92.3,Oman Women,6th-Match,1st,1419911
Sameera Khan,b Kato,6,17,0,0,0,35.29,Oman Women,6th-Match,1st,1419911
Priyanka Mendonca,lbw b Fujikawa,8,13,0,0,0,61.53,Oman Women,6th-Match,1st,1419911
Amanda Dcosta,not out,11,10,0,1,0,110.0,Oman Women,6th-Match,1st,1419911
Akshadha Gunasekar,not out,1,1,0,0,0,100.0,Oman Women,6th-Match,1st,1419911
Roshni Seth,c Zeefa Jilani b Mariamma Hyder,1,3,0,0,0,33.33,Singapore Women,5th-Match,1st,1419910
Shafina Mahesh,c Amna Tariq b Mariamma Hyder,3,6,0,0,0,50.0,Singapore Women,5th-Match,1st,1419910
Ada Bhasin,c Amna Tariq b Maryam Omar,12,24,0,2,0,50.0,Singapore Women,5th-Match,1st,1419910
Vinu Kumar,b Maria Jasvi,6,9,0,1,0,66.66,Singapore Women,5th-Match,1st,1419910
GK Diviya,not out,38,47,0,4,0,80.85,Singapore Women,5th-Match,1st,1419910
Piumi Gurusinghe,b Maria Jasvi,5,10,0,1,0,50.0,Singapore Women,5th-Match,1st,1419910
Devika Galia,c Maria Jasvi b Mariamma Hyder,9,17,0,0,0,52.94,Singapore Women,5th-Match,1st,1419910
Vathana Sreemurugavel,not out,4,7,0,0,0,57.14,Singapore Women,5th-Match,1st,1419910
Priyada Murali,not out,29,34,0,1,1,85.29,Kuwait Women,5th-Match,1st,1419910
Zeefa Jilani,not out,49,51,0,6,0,96.07,Kuwait Women,5th-Match,1st,1419910
Natasha Miles,c Shrestha b Joshi,11,19,0,1,0,57.89,Hong Kong Women,4th-Match,1st,1419909
Mariko Hill,c Shrestha b Puja Mahato,4,4,0,1,0,100.0,Hong Kong Women,4th-Match,1st,1419909
Shanzeen Shahzad,obstructing the field,0,1,0,0,0,0.0,Hong Kong Women,4th-Match,1st,1419909
Kary Chan,c Shrestha b Belbashi,21,31,0,3,0,67.74,Hong Kong Women,4th-Match,1st,1419909
Marina Lamplough,b Belbashi,9,15,0,0,0,60.0,Hong Kong Women,4th-Match,1st,1419909
Yasmin Daswani,hit wicket b Magar,15,21,0,0,0,71.42,Hong Kong Women,4th-Match,1st,1419909
Maryam Bibi,run out (Shrestha),19,20,0,0,0,95.0,Hong Kong Women,4th-Match,1st,1419909
Hiu Ying Cheung,not out,1,3,0,0,0,33.33,Hong Kong Women,4th-Match,1st,1419909
Iqra Sahar,c & b Puja Mahato,1,3,0,0,0,33.33,Hong Kong Women,4th-Match,1st,1419909
Betty Chan,not out,4,3,0,0,0,133.33,Hong Kong Women,4th-Match,1st,1419909
Kabita Kunwar,c Shanzeen Shahzad b Iqra Sahar,4,12,0,0,0,33.33,Nepal Women,4th-Match,1st,1419909
Sita Rana Magar,not out,36,38,0,1,1,94.73,Nepal Women,4th-Match,1st,1419909
Indu Barma,c Wai Siu b Chan Ka Man,40,33,0,3,1,121.21,Nepal Women,4th-Match,1st,1419909
Rubina Chhetry,not out,0,2,0,0,0,0.0,Nepal Women,4th-Match,1st,1419909
Ni Putu Ayu Nanda Sakarini,c & b Mas Elysa,19,35,0,2,0,54.28,Indonesia Women,3rd-Match,1st,1419908
Ni Luh Dewi,run out (Mas Elysa),38,47,0,5,0,80.85,Indonesia Women,3rd-Match,1st,1419908
Maria Corazon,c Aisya Eleesa b Mas Elysa,5,10,0,0,0,50.0,Indonesia Women,3rd-Match,1st,1419908
Mia Arda,lbw b Ainna Hamizah Hashim,5,15,0,0,0,33.33,Indonesia Women,3rd-Match,1st,1419908
Andriani Andriani,b Duraisingam,1,5,0,0,0,20.0,Indonesia Women,3rd-Match,1st,1419908
Ni Kadek Fitria Rada Rani,lbw b Ainna Hamizah Hashim,0,3,0,0,0,0.0,Indonesia Women,3rd-Match,1st,1419908
Kisi Kasse,run out (Ainna Hamizah Hashim/Duraisingam),1,2,0,0,0,50.0,Indonesia Women,3rd-Match,1st,1419908
Ni Made Putri Suwandewi,not out,2,2,0,0,0,100.0,Indonesia Women,3rd-Match,1st,1419908
Desi Wulandari,not out,1,1,0,0,0,100.0,Indonesia Women,3rd-Match,1st,1419908
Ainna Hamizah Hashim,b Suwandewi,0,4,0,0,0,0.0,Malaysia Women,3rd-Match,1st,1419908
Wan Julia,run out (Wulandari/Sakarini),6,9,0,0,0,66.66,Malaysia Women,3rd-Match,1st,1419908
Elsa Hunter,run out (Suwandewi/Sakarini),4,3,0,1,0,133.33,Malaysia Women,3rd-Match,1st,1419908
Winifred Duraisingam,b Suwandewi,5,6,0,1,0,83.33,Malaysia Women,3rd-Match,1st,1419908
Mas Elysa,not out,35,53,0,2,0,66.03,Malaysia Women,3rd-Match,1st,1419908
Mahirah Izzati Ismail,not out,24,33,0,1,0,72.72,Malaysia Women,3rd-Match,1st,1419908
Esha Oza,b Zhu,36,32,0,6,0,112.5,United Arab Emirates Women,2nd-Match,1st,1419907
Kavisha Egodage,not out,69,61,0,5,1,113.11,United Arab Emirates Women,2nd-Match,1st,1419907
Khushi Sharma,not out,37,29,0,5,0,127.58,United Arab Emirates Women,2nd-Match,1st,1419907
Sun Meng Yao,c Dharnidharka b Kotte,0,6,0,0,0,0.0,China Women,2nd-Match,1st,1419907
Zi Mei,b Kotte,3,12,0,0,0,25.0,China Women,2nd-Match,1st,1419907
Han Lili,c Hotchandani b Vaishnave Mahesh,11,25,0,0,0,44.0,China Women,2nd-Match,1st,1419907
Huang Zhuo,lbw b Hotchandani,1,15,0,0,0,6.66,China Women,2nd-Match,1st,1419907
Mingyue Zhu,c Khushi Sharma b Egodage,1,6,0,0,0,16.66,China Women,2nd-Match,1st,1419907
Zheng Lili,b Egodage,9,15,0,1,0,60.0,China Women,2nd-Match,1st,1419907
Wenjing Yin,b Egodage,0,2,0,0,0,0.0,China Women,2nd-Match,1st,1419907
Zhi Xinyu,run out (Mehak Thakur/Theertha Satish),0,3,0,0,0,0.0,China Women,2nd-Match,1st,1419907
Mengting Liu,not out,5,14,0,0,0,35.71,China Women,2nd-Match,1st,1419907
Chen Xinyu,c Theertha Satish b Dharnidharka,1,6,0,0,0,16.66,China Women,2nd-Match,1st,1419907
Xu Qian,c Theertha Satish b Dharnidharka,0,3,0,0,0,0.0,China Women,2nd-Match,1st,1419907
Khin Myat,run out (Kanoh/Putthawong),7,14,0,0,0,50.0,Myanmar Women,1st-Match,1st,1419906
Zon Lin,b Sutthiruang,2,5,0,0,0,40.0,Myanmar Women,1st-Match,1st,1419906
Lin Htun,b Boochatham,0,7,0,0,0,0.0,Myanmar Women,1st-Match,1st,1419906
Zar Win,b Putthawong,0,2,0,0,0,0.0,Myanmar Women,1st-Match,1st,1419906
Theint Soe,run out (Suwanchonrathi/Maya),1,2,0,0,0,50.0,Myanmar Women,1st-Match,1st,1419906
May San,b Sutthiruang,4,18,0,0,0,22.22,Myanmar Women,1st-Match,1st,1419906
Htet Aung,run out (Kamchomphu/Koncharoenkai),1,5,0,0,0,20.0,Myanmar Women,1st-Match,1st,1419906
Thae Thae Aung,b Kamchomphu,1,7,0,0,0,14.28,Myanmar Women,1st-Match,1st,1419906
Zin Kyaw,c Koncharoenkai b Kamchomphu,9,33,0,0,0,27.27,Myanmar Women,1st-Match,1st,1419906
Shwe Yee Win,b Sutthiruang,0,2,0,0,0,0.0,Myanmar Women,1st-Match,1st,1419906
Thae Thae Po,not out,1,5,0,0,0,20.0,Myanmar Women,1st-Match,1st,1419906
Nannapat Koncharoenkai,not out,21,18,0,2,0,116.66,Thailand Women,1st-Match,1st,1419906
Naruemol Chaiwai,not out,8,10,0,1,0,80.0,Thailand Women,1st-Match,1st,1419906
Alyssa Healy,c Luus b Marx,60,73,0,9,1,82.19,Australia Women,3rd-ODI,1st,1375874
Phoebe Litchfield,c Brits b Klaas,5,16,0,1,0,31.25,Australia Women,3rd-ODI,1st,1375874
Ellyse Perry,b Klaas,24,32,0,4,0,75.0,Australia Women,3rd-ODI,1st,1375874
Beth Mooney,not out,82,91,0,10,0,90.1,Australia Women,3rd-ODI,1st,1375874
Tahlia McGrath,b Tryon,44,35,0,7,0,125.71,Australia Women,3rd-ODI,1st,1375874
Ashleigh Gardner,lbw b Kapp,1,4,0,0,0,25.0,Australia Women,3rd-ODI,1st,1375874
Annabel Sutherland,c Wolvaardt b Klaas,18,29,0,2,0,62.06,Australia Women,3rd-ODI,1st,1375874
Georgia Wareham,c & b de Klerk,1,5,0,0,0,20.0,Australia Women,3rd-ODI,1st,1375874
Alana King,c Tryon b Klaas,17,12,0,0,2,141.66,Australia Women,3rd-ODI,1st,1375874
Kim Garth,run out (de Klerk/Klaas),3,4,0,0,0,75.0,Australia Women,3rd-ODI,1st,1375874
Laura Wolvaardt,c Litchfield b Garth,3,10,0,0,0,30.0,South Africa Women,3rd-ODI,1st,1375874
Tazmin Brits,c King b McGrath,31,37,0,6,0,83.78,South Africa Women,3rd-ODI,1st,1375874
Anneke Bosch,b Garth,4,6,0,1,0,66.66,South Africa Women,3rd-ODI,1st,1375874
Sune Luus,c & b King,34,38,0,3,1,89.47,South Africa Women,3rd-ODI,1st,1375874
Marizanne Kapp,c Brown b McGrath,0,4,0,0,0,0.0,South Africa Women,3rd-ODI,1st,1375874
Nadine de Klerk,c Litchfield b King,20,24,0,2,0,83.33,South Africa Women,3rd-ODI,1st,1375874
Chloe Tryon,c Brown b McGrath,11,9,0,2,0,122.22,South Africa Women,3rd-ODI,1st,1375874
Eliz-mari Marx,not out,7,10,0,1,0,70.0,South Africa Women,3rd-ODI,1st,1375874
Sinalo Jafta,c Litchfield b King,0,3,0,0,0,0.0,South Africa Women,3rd-ODI,1st,1375874
Masabata Klaas,b King,0,1,0,0,0,0.0,South Africa Women,3rd-ODI,1st,1375874
Ayanda Hlubi,b Garth,4,6,0,1,0,66.66,South Africa Women,3rd-ODI,1st,1375874
Aaron Johnson,run out (Sharki/Aasif Sheikh),65,62,0,10,2,104.83,Canada,2nd-ODI,1st,1420221
Navneet Dhaliwal,c Aasif Sheikh b Aakash Chand,46,60,0,8,0,76.66,Canada,2nd-ODI,1st,1420221
Pargat Singh,c Sompal Kami b Paudel,38,38,0,6,0,100.0,Canada,2nd-ODI,1st,1420221
Nicholas Kirton,st Aasif Sheikh b Paudel,20,29,0,2,0,68.96,Canada,2nd-ODI,1st,1420221
Harsh Thaker,c Aasif Sheikh b Surya Tamang,3,11,0,0,0,27.27,Canada,2nd-ODI,1st,1420221
Dilpreet Bajwa,b Kushal Malla,19,20,0,2,1,95.0,Canada,2nd-ODI,1st,1420221
Shreyas Movva,c Sharki b Sompal Kami,40,42,0,4,0,95.23,Canada,2nd-ODI,1st,1420221
Saad Bin Zafar,c Sarraf b Kushal Malla,1,6,0,0,0,16.66,Canada,2nd-ODI,1st,1420221
Shahid Ahmadzai,b Sarraf,13,17,0,1,0,76.47,Canada,2nd-ODI,1st,1420221
Uday Bhagwan,not out,20,15,0,1,1,133.33,Canada,2nd-ODI,1st,1420221
Anil Sah,lbw b Sohi,50,20,0,7,3,250.0,Nepal,2nd-ODI,1st,1420221
Aasif Sheikh,c sub (SA Wijeyeratne) b Sohi,10,16,0,1,0,62.5,Nepal,2nd-ODI,1st,1420221
Rohit Paudel,c Movva b Saad Bin Zafar,87,101,0,8,4,86.13,Nepal,2nd-ODI,1st,1420221
Dev Khanal,c & b Thaker,76,81,0,7,2,93.82,Nepal,2nd-ODI,1st,1420221
Bhim Sharki,c Movva b Bajwa,23,21,0,4,0,109.52,Nepal,2nd-ODI,1st,1420221
Pawan Sarraf,c Movva b Thaker,14,8,0,2,1,175.0,Nepal,2nd-ODI,1st,1420221
Kushal Malla,not out,9,14,0,0,1,64.28,Nepal,2nd-ODI,1st,1420221
Sompal Kami,not out,9,10,0,1,0,90.0,Nepal,2nd-ODI,1st,1420221
Chad Bowes,c KD Clarke b Drysdale,74,72,126,11,0,102.77,Canterbury,24th-match,1st,1391894
Henry Nicholls,c KD Clarke b Hampton,2,7,14,0,0,28.57,Canterbury,24th-match,1st,1391894
Mitchell Hay,lbw b KDC Clarke,20,27,38,3,0,74.07,Canterbury,24th-match,1st,1391894
Leo Carter,c Carter b KDC Clarke,0,1,2,0,0,0.0,Canterbury,24th-match,1st,1391894
Cole McConchie,c KDC Clarke b Schreuder,2,12,16,0,0,16.66,Canterbury,24th-match,1st,1391894
Michael Rippon,b Hampton,36,47,59,3,0,76.59,Canterbury,24th-match,1st,1391894
Bevon Jacobs,c Cooper b Pringle,35,34,62,4,1,102.94,Canterbury,24th-match,1st,1391894
Zakary Foulkes,c Seifert b Hampton,47,57,81,3,1,82.45,Canterbury,24th-match,1st,1391894
Angus McKenzie,st Seifert b Walker,37,34,36,4,0,108.82,Canterbury,24th-match,1st,1391894
Fraser Sheat,c Seifert b Walker,2,4,5,0,0,50.0,Canterbury,24th-match,1st,1391894
Ed Nuttall,not out,0,2,6,0,0,0.0,Canterbury,24th-match,1st,1391894
Katene Clarke,c McConchie b Sheat,16,26,24,2,0,61.53,Northern Districts,24th-match,1st,1391894
Tim Seifert,b Foulkes,3,14,29,0,0,21.42,Northern Districts,24th-match,1st,1391894
Henry Cooper,not out,5,13,18,1,0,38.46,Northern Districts,24th-match,1st,1391894
Joe Carter,not out,4,7,13,0,0,57.14,Northern Districts,24th-match,1st,1391894
Luke Georgeson,lbw b Milne,2,7,10,0,0,28.57,Otago,23rd-match,1st,1391893
Jacob Cumming,c McLachlan b van Beek,8,17,25,2,0,47.05,Otago,23rd-match,1st,1391893
Dean Foxcroft,b Sears,6,19,41,0,0,31.57,Otago,23rd-match,1st,1391893
Dale Phillips,c Johnson b Younghusband,57,65,96,7,1,87.69,Otago,23rd-match,1st,1391893
Thorn Parkes,c Greenwood b Sears,30,52,62,4,0,57.69,Otago,23rd-match,1st,1391893
Llew Johnson,c McLachlan b Smith,15,32,36,1,0,46.87,Otago,23rd-match,1st,1391893
Max Chu,c Milne b Younghusband,3,16,21,0,0,18.75,Otago,23rd-match,1st,1391893
Ben Lockrose,c McLachlan b van Beek,9,9,26,1,0,100.0,Otago,23rd-match,1st,1391893
Matthew Bacon,c & b van Beek,2,10,8,0,0,20.0,Otago,23rd-match,1st,1391893
Andrew Hazeldine,not out,54,26,39,5,4,207.69,Otago,23rd-match,1st,1391893
Jacob Duffy,c Kelly b Milne,27,15,29,2,2,180.0,Otago,23rd-match,1st,1391893
Gareth Severin,c Chu b Duffy,17,32,35,4,0,53.12,Wellington,23rd-match,1st,1391893
Nick Greenwood,b Bacon,13,18,36,2,0,72.22,Wellington,23rd-match,1st,1391893
Troy Johnson,c Parkes b Duffy,83,109,175,4,5,76.14,Wellington,23rd-match,1st,1391893
Nick Kelly,c Cumming b Georgeson,15,34,50,1,0,44.11,Wellington,23rd-match,1st,1391893
Callum McLachlan,c Johnson b Georgeson,6,8,16,1,0,75.0,Wellington,23rd-match,1st,1391893
Jesse Tashkoff,c Cumming b Georgeson,0,2,3,0,0,0.0,Wellington,23rd-match,1st,1391893
Nathan Smith,c Cumming b Georgeson,37,44,56,5,0,84.09,Wellington,23rd-match,1st,1391893
Logan van Beek,c Foxcroft b Georgeson,13,20,21,1,0,65.0,Wellington,23rd-match,1st,1391893
Adam Milne,lbw b Lockrose,4,11,14,0,0,36.36,Wellington,23rd-match,1st,1391893
Peter Younghusband,not out,4,8,14,0,0,50.0,Wellington,23rd-match,1st,1391893
Ben Sears,run out (Georgeson/Bacon),2,4,4,0,0,50.0,Wellington,23rd-match,1st,1391893
