batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Pathum Nissanka,c Abdullah Shafique b Shadab Khan,51,61,79,7,1,83.6,Sri Lanka,8th_match
Kusal Perera,c Mohammad Rizwan b Hasan Ali,0,4,7,0,0,0.0,Sri Lanka,8th_match
Kusal Mendis,c Imam0ul0Haq b Hasan Ali,122,77,124,14,6,158.44,Sri Lanka,8th_match
Sadeera Samarawickrama,c Mohammad Rizwan b Hasan Ali,108,89,139,11,2,121.34,Sri Lanka,8th_match
Charith Asalanka,c Mohammad Rizwan b Hasan Ali,1,3,5,0,0,33.33,Sri Lanka,8th_match
Dhananjaya de Silva,c Shaheen Shah Afridi b Mohammad Nawaz,25,34,47,3,0,73.52,Sri Lanka,8th_match
Dasun Shanaka,c Babar Azam b Shaheen Shah Afridi,12,18,23,0,0,66.66,Sri Lanka,8th_match
Dunith Wellalage,c Abdullah Shafique b Haris Rauf,10,8,18,1,0,125.0,Sri Lanka,8th_match
Maheesh Theekshana,b Haris Rauf,0,4,6,0,0,0.0,Sri Lanka,8th_match
Matheesha Pathirana,not out,1,3,3,0,0,33.33,Sri Lanka,8th_match
Abdullah Shafique,c sub (MADI Hemantha) b Pathirana,113,103,150,10,3,109.7,Pakistan,8th_match
Imam0ul0Haq,c Perera b Madushanka,12,12,15,1,0,100.0,Pakistan,8th_match
Babar Azam,c Samarawickrama b Madushanka,10,15,17,1,0,66.66,Pakistan,8th_match
Mohammad Rizwan,not out,131,121,193,8,3,108.26,Pakistan,8th_match
Saud Shakeel,c Wellalage b Theekshana,31,30,57,2,0,103.33,Pakistan,8th_match
Iftikhar Ahmed,not out,22,10,18,4,0,220.0,Pakistan,8th_match
