batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Quinton de Kock,c Buttler b Topley,4,2,3,1,0,200.0,South Africa,20th_match
Reeza Hendricks,b Rashid,85,75,111,9,3,113.33,South Africa,20th_match
Rassie van der Dussen,c Bairstow b Rashid,60,61,86,8,0,98.36,South Africa,20th_match
Aiden Markram,c Bairstow b Topley,42,44,63,4,0,95.45,South Africa,20th_match
Heinrich Klaasen,b Atkinson,109,67,119,12,4,162.68,South Africa,20th_match
David Miller,c Stokes b Topley,5,6,7,1,0,83.33,South Africa,20th_match
Marco Jansen,not out,75,42,72,3,6,178.57,South Africa,20th_match
Gerald Coetzee,c sub (LS Livingstone) b Atkinson,3,3,2,0,0,100.0,South Africa,20th_match
Keshav Maharaj,not out,1,1,1,0,0,100.0,South Africa,20th_match
Jonny Bairstow,c van der Dussen b Ngidi,10,12,13,1,1,83.33,England,20th_match
Dawid Malan,c de Kock b Jansen,6,11,30,1,0,54.54,England,20th_match
Joe Root,c Miller b Jansen,2,6,9,0,0,33.33,England,20th_match
Ben Stokes,c & b Rabada,5,8,20,1,0,62.5,England,20th_match
Harry Brook,lbw b Coetzee,17,25,33,2,1,68.0,England,20th_match
Jos Buttler,c de Kock b Coetzee,15,7,14,2,1,214.28,England,20th_match
David Willey,c Rabada b Ngidi,12,12,24,1,1,100.0,England,20th_match
Adil Rashid,c Hendricks b Coetzee,10,14,14,1,0,71.42,England,20th_match
Gus Atkinson,b Maharaj,35,21,31,7,0,166.66,England,20th_match
Mark Wood,not out,43,17,25,2,5,252.94,England,20th_match
Reece Topley,absent hurt,0,0,0,0,0,0.0,England,20th_match
