bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Dilshan Madushanka,9.4,1,49,4,5.06,33,4,0,3,1,Sri Lanka,19th_match
Kasun Rajitha,9.0,0,50,4,5.55,32,5,0,6,0,Sri Lanka,19th_match
Chamika Karunaratne,9.0,1,58,0,6.44,25,1,2,6,0,Sri Lanka,19th_match
Maheesh Theekshana,10.0,0,44,1,4.4,28,0,0,2,0,Sri Lanka,19th_match
Dushan Hemantha,8.0,0,42,0,5.25,23,3,1,0,0,Sri Lanka,19th_match
Dhananjaya de Silva,4.0,0,13,0,3.25,16,0,0,3,0,Sri Lanka,19th_match
Aryan Dutt,10.0,0,44,3,4.4,38,3,1,2,0,Netherlands,19th_match
Logan van Beek,10.0,0,57,0,5.7,36,6,2,0,0,Netherlands,19th_match
Paul van Meekeren,8.0,1,39,1,4.87,29,4,0,2,0,Netherlands,19th_match
Bas de Leede,3.0,0,29,0,9.66,7,4,0,2,0,Netherlands,19th_match
Roelof van der Merwe,9.0,0,42,0,4.66,25,3,0,1,0,Netherlands,19th_match
Colin Ackermann,8.2,0,39,1,4.68,25,3,0,0,0,Netherlands,19th_match
