bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Josh Hazlewood,7.0,1,21,0,3.0,29,2,0,0,0,Australia,43rd_match
Pat Cummins,8.0,0,56,0,7.0,22,7,0,4,0,Australia,43rd_match
Sean Abbott,10.0,0,61,2,6.1,29,4,2,0,1,Australia,43rd_match
Mitchell Marsh,4.0,0,48,0,12.0,8,6,2,2,1,Australia,43rd_match
Adam Zampa,10.0,0,32,2,3.2,39,2,1,0,0,Australia,43rd_match
Travis Head,6.0,0,33,0,5.5,14,2,1,0,0,Australia,43rd_match
Marcus Stoinis,5.0,0,45,1,9.0,4,4,0,2,0,Australia,43rd_match
Taskin Ahmed,10.0,0,61,1,6.1,30,6,2,1,0,Bangladesh,43rd_match
Mahedi Hasan,9.0,0,38,0,4.22,29,3,0,1,0,Bangladesh,43rd_match
Nasum Ahmed,10.0,0,85,0,8.5,21,9,3,1,0,Bangladesh,43rd_match
Mehidy Hasan Miraz,6.0,0,47,0,7.83,13,3,3,0,0,Bangladesh,43rd_match
Mustafizur Rahman,9.4,1,76,1,7.86,20,8,2,1,0,Bangladesh,43rd_match
