batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Pathum Nissanka,b Tanzim Hasan Sakib,41,36,61,8,0,113.88,Sri Lanka,38th_match
Kusal Perera,c Mushfiqur Rahim b Shoriful Islam,4,5,5,1,0,80.0,Sri Lanka,38th_match
Kusal Mendis,c Shoriful Islam b Shakib Al Hasan,19,30,49,1,1,63.33,Sri Lanka,38th_match
Sadeera Samarawickrama,c Mahmudullah b Shakib Al Hasan,41,42,53,4,0,97.61,Sri Lanka,38th_match
Charith Asalanka,c Litton Das b Tanzim Hasan Sakib,108,105,159,6,5,102.85,Sri Lanka,38th_match
Angelo Mathews,timed out,0,0,4,0,0,0.0,Sri Lanka,38th_match
Dhananjaya de Silva,st Mushfiqur Rahim b Mehidy Hasan Miraz,34,36,58,4,1,94.44,Sri Lanka,38th_match
Maheesh Theekshana,c sub (Nasum Ahmed) b Shoriful Islam,21,31,35,3,0,67.74,Sri Lanka,38th_match
Dushmantha Chameera,run out (Mushfiqur Rahim),4,9,17,0,0,44.44,Sri Lanka,38th_match
Kasun Rajitha,c Litton Das b Tanzim Hasan Sakib,0,2,1,0,0,0.0,Sri Lanka,38th_match
Dilshan Madushanka,not out,0,1,3,0,0,0.0,Sri Lanka,38th_match
Tanzid Hasan,c Nissanka b Madushanka,9,5,11,2,0,180.0,Bangladesh,38th_match
Litton Das,lbw b Madushanka,23,22,36,2,2,104.54,Bangladesh,38th_match
Najmul Hossain Shanto,b Mathews,90,101,163,12,0,89.1,Bangladesh,38th_match
Shakib Al Hasan,c Asalanka b Mathews,82,65,128,12,2,126.15,Bangladesh,38th_match
Mahmudullah,b Theekshana,22,23,37,3,1,95.65,Bangladesh,38th_match
Mushfiqur Rahim,b Madushanka,10,13,21,1,0,76.92,Bangladesh,38th_match
Towhid Hridoy,not out,15,7,22,0,2,214.28,Bangladesh,38th_match
Mehidy Hasan Miraz,c Asalanka b Theekshana,3,5,9,0,0,60.0,Bangladesh,38th_match
Tanzim Hasan Sakib,not out,5,6,6,1,0,83.33,Bangladesh,38th_match
