bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Shaheen Shah Afridi,10.0,1,54,5,5.4,39,4,3,3,0,Pakistan,18th_match
Hasan Ali,8.0,0,57,0,7.12,26,4,3,3,0,Pakistan,18th_match
Iftikhar Ahmed,8.0,0,37,0,4.62,30,4,1,2,0,Pakistan,18th_match
Haris Rauf,8.0,0,83,3,10.37,18,8,5,3,0,Pakistan,18th_match
Usama Mir,9.0,0,82,1,9.11,19,6,5,2,0,Pakistan,18th_match
Mohammad Nawaz,7.0,0,43,0,6.14,20,3,2,0,0,Pakistan,18th_match
Mitchell Starc,8.0,0,65,1,8.12,22,10,0,6,0,Australia,18th_match
Josh Hazlewood,10.0,1,37,1,3.7,40,5,0,1,0,Australia,18th_match
Pat Cummins,7.3,0,62,2,8.26,22,6,4,0,0,Australia,18th_match
Adam Zampa,10.0,0,53,4,5.3,25,3,1,1,0,Australia,18th_match
Glenn Maxwell,5.0,0,40,0,8.0,10,6,0,0,0,Australia,18th_match
Marcus Stoinis,5.0,0,40,2,8.0,10,4,1,3,0,Australia,18th_match
