bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Kagiso Rabada,10.0,0,40,0,4.0,37,4,1,0,0,South Africa,42nd_match
Lungi Ngidi,8.3,0,69,2,8.11,28,5,4,6,0,South Africa,42nd_match
Aiden Markram,4.3,0,25,0,5.55,13,2,1,0,0,South Africa,42nd_match
Gerald Coetzee,10.0,1,44,4,4.4,35,5,0,2,0,South Africa,42nd_match
Keshav Maharaj,10.0,1,25,2,2.5,41,0,0,2,0,South Africa,42nd_match
Andile Phehlukwayo,7.0,0,36,1,5.14,20,4,0,0,0,South Africa,42nd_match
Mujeeb Ur Rahman,10.0,0,51,1,5.1,33,4,2,1,0,Afghanistan,42nd_match
Naveen0ul0Haq,6.3,0,52,0,8.0,16,2,4,1,0,Afghanistan,42nd_match
Mohammad Nabi,10.0,1,35,2,3.5,36,3,0,0,0,Afghanistan,42nd_match
Azmatullah Omarzai,1.0,0,8,0,8.0,3,0,1,0,0,Afghanistan,42nd_match
Rashid Khan,10.0,1,37,2,3.7,38,2,1,1,0,Afghanistan,42nd_match
Noor Ahmad,9.0,0,49,0,5.44,23,3,0,3,0,Afghanistan,42nd_match
Rahmat Shah,1.0,0,12,0,12.0,2,1,1,0,0,Afghanistan,42nd_match
