bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Aryan Dutt,7.0,0,59,1,8.42,17,9,1,0,0,Netherlands,24th_match
Colin Ackermann,4.0,0,19,0,4.75,10,0,1,0,0,Netherlands,24th_match
Logan van Beek,10.0,0,74,4,7.4,31,7,3,5,0,Netherlands,24th_match
Paul van Meekeren,10.0,0,64,0,6.4,29,7,1,3,0,Netherlands,24th_match
Vikramjit Singh,4.0,0,27,0,6.75,13,3,1,1,0,Netherlands,24th_match
Roelof van der Merwe,5.0,0,41,0,8.2,11,3,2,1,0,Netherlands,24th_match
Bas de Leede,10.0,0,115,2,11.5,20,13,6,1,1,Netherlands,24th_match
Mitchell Starc,4.0,0,22,1,5.5,19,5,0,2,0,Australia,24th_match
Josh Hazlewood,6.0,0,27,1,4.5,25,4,0,2,0,Australia,24th_match
Pat Cummins,4.0,0,14,1,3.5,16,2,0,0,0,Australia,24th_match
Mitchell Marsh,4.0,0,19,2,4.75,15,2,0,3,0,Australia,24th_match
Adam Zampa,3.0,0,8,4,2.66,10,0,0,0,0,Australia,24th_match
