batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Devon Conway,lbw b Mujeeb Ur Rahman,20,18,27,3,0,111.11,New Zealand,16th_match
Will Young,c Ikram Alikhil b Azmatullah Omarzai,54,64,98,4,3,84.37,New Zealand,16th_match
Rachin Ravindra,b Azmatullah Omarzai,32,41,64,2,1,78.04,New Zealand,16th_match
Daryl Mitchell,c Ibrahim Zadran b Rashid Khan,1,7,6,0,0,14.28,New Zealand,16th_match
Tom Latham,b Naveen0ul0Haq,68,74,114,3,2,91.89,New Zealand,16th_match
Glenn Phillips,c Rashid Khan b Naveen0ul0Haq,71,80,109,4,4,88.75,New Zealand,16th_match
Mark Chapman,not out,25,12,15,2,1,208.33,New Zealand,16th_match
Mitchell Santner,not out,7,5,13,1,0,140.0,New Zealand,16th_match
Rahmanullah Gurbaz,b Henry,11,21,24,0,1,52.38,Afghanistan,16th_match
Ibrahim Zadran,c Santner b Boult,14,15,27,2,0,93.33,Afghanistan,16th_match
Rahmat Shah,c & b Ravindra,36,62,86,1,0,58.06,Afghanistan,16th_match
Hashmatullah Shahidi,c Santner b Ferguson,8,29,30,1,0,27.58,Afghanistan,16th_match
Azmatullah Omarzai,c Latham b Boult,27,32,39,2,0,84.37,Afghanistan,16th_match
Ikram Alikhil,not out,19,21,42,3,0,90.47,Afghanistan,16th_match
Mohammad Nabi,b Santner,7,9,10,1,0,77.77,Afghanistan,16th_match
Rashid Khan,c Mitchell b Ferguson,8,13,10,0,1,61.53,Afghanistan,16th_match
Mujeeb Ur Rahman,c Young b Ferguson,4,3,2,1,0,133.33,Afghanistan,16th_match
Naveen0ul0Haq,c Chapman b Santner,0,1,1,0,0,0.0,Afghanistan,16th_match
Fazalhaq Farooqi,c Mitchell b Santner,0,2,1,0,0,0.0,Afghanistan,16th_match
