bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Jasprit Bumrah,10.0,1,41,2,4.1,39,2,2,1,0,India,17th_match
Mohammed Siraj,10.0,0,60,2,6.0,34,8,1,3,0,India,17th_match
Hardik Pandya,0.3,0,8,0,16.0,1,2,0,0,0,India,17th_match
Virat Kohli,0.3,0,2,0,4.0,1,0,0,0,0,India,17th_match
Shardul Thakur,9.0,0,59,1,6.55,23,3,3,0,0,India,17th_match
Kuldeep Yadav,10.0,0,47,1,4.7,25,1,1,1,0,India,17th_match
Ravindra Jadeja,10.0,0,38,2,3.8,36,2,1,0,0,India,17th_match
Shoriful Islam,8.0,0,54,0,6.75,25,6,2,0,0,Bangladesh,17th_match
Mustafizur Rahman,5.0,0,29,0,5.8,17,5,0,0,0,Bangladesh,17th_match
Nasum Ahmed,9.3,0,60,0,6.31,30,4,4,0,0,Bangladesh,17th_match
Hasan Mahmud,8.0,0,65,1,8.12,22,5,3,1,2,Bangladesh,17th_match
Mehidy Hasan Miraz,10.0,0,47,2,4.7,24,3,0,1,0,Bangladesh,17th_match
Mahmudullah,1.0,0,6,0,6.0,0,0,0,0,0,Bangladesh,17th_match
