batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Abdullah Shafique,lbw b Mohammed Siraj,20,24,39,3,0,83.33,Pakistan,12th_match
Imam0ul0Haq,c Rahul b Pandya,36,38,64,6,0,94.73,Pakistan,12th_match
Babar Azam,b Mohammed Siraj,50,58,89,7,0,86.2,Pakistan,12th_match
Mohammad Rizwan,b Bumrah,49,69,89,7,0,71.01,Pakistan,12th_match
Saud Shakeel,lbw b Kuldeep Yadav,6,10,12,0,0,60.0,Pakistan,12th_match
Iftikhar Ahmed,b Kuldeep Yadav,4,4,2,1,0,100.0,Pakistan,12th_match
Shadab Khan,b Bumrah,2,5,11,0,0,40.0,Pakistan,12th_match
Mohammad Nawaz,c Bumrah b Pandya,4,14,25,0,0,28.57,Pakistan,12th_match
Hasan Ali,c Shubman Gill b Jadeja,12,19,21,2,0,63.15,Pakistan,12th_match
Shaheen Shah Afridi,not out,2,10,12,0,0,20.0,Pakistan,12th_match
Haris Rauf,lbw b Jadeja,2,6,9,0,0,33.33,Pakistan,12th_match
Rohit Sharma,c Iftikhar Ahmed b Shaheen Shah Afridi,86,63,91,6,6,136.5,India,12th_match
Shubman Gill,c Shadab Khan b Shaheen Shah Afridi,16,11,11,4,0,145.45,India,12th_match
Virat Kohli,c Mohammad Nawaz b Hasan Ali,16,18,31,3,0,88.88,India,12th_match
Shreyas Iyer,not out,53,62,80,3,2,85.48,India,12th_match
KL Rahul,not out,19,29,33,2,0,65.51,India,12th_match
