bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Jasprit Bumrah,10.0,0,35,2,3.5,41,1,1,4,0,India,5th_match
Mohammed Siraj,6.3,1,26,1,4.0,26,3,0,2,0,India,5th_match
Hardik Pandya,3.0,0,28,1,9.33,8,6,0,0,0,India,5th_match
Ravichandran Ashwin,10.0,1,34,1,3.4,32,2,0,0,0,India,5th_match
Kuldeep Yadav,10.0,0,42,2,4.2,31,2,1,0,0,India,5th_match
Ravindra Jadeja,10.0,2,28,3,2.8,38,2,0,0,0,India,5th_match
Mitchell Starc,8.0,0,31,1,3.87,28,2,0,3,0,Australia,5th_match
Josh Hazlewood,9.0,1,38,3,4.22,33,3,1,1,0,Australia,5th_match
Pat Cummins,6.2,0,33,0,5.21,19,2,1,1,1,Australia,5th_match
Glenn Maxwell,8.0,0,33,0,4.12,24,1,1,0,0,Australia,5th_match
Cameron Green,2.0,0,11,0,5.5,7,2,0,0,0,Australia,5th_match
Adam Zampa,8.0,0,53,0,6.62,13,4,0,0,0,Australia,5th_match
