batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Quinton de Kock,c de Silva b Pathirana,100,84,140,12,3,119.04,South Africa,4th_match
Temba Bavuma,lbw b Madushanka,8,5,9,2,0,160.0,South Africa,4th_match
Rassie van der Dussen,c Samarawickrama b Wellalage,108,110,161,13,2,98.18,South Africa,4th_match
Aiden Markram,c Rajitha b Madushanka,106,54,84,14,3,196.29,South Africa,4th_match
Heinrich Klaasen,c Shanaka b Rajitha,32,20,30,1,3,160.0,South Africa,4th_match
David Miller,not out,39,21,36,3,2,185.71,South Africa,4th_match
Marco Jansen,not out,12,7,15,0,1,171.42,South Africa,4th_match
Pathum Nissanka,b Jansen,0,3,6,0,0,0.0,Sri Lanka,4th_match
Kusal Perera,b Jansen,7,15,42,1,0,46.66,Sri Lanka,4th_match
Kusal Mendis,c Klaasen b Rabada,76,42,55,4,8,180.95,Sri Lanka,4th_match
Sadeera Samarawickrama,c Jansen b Coetzee,23,19,22,3,1,121.05,Sri Lanka,4th_match
Charith Asalanka,c sub (RR Hendricks) b Ngidi,79,65,83,8,4,121.53,Sri Lanka,4th_match
Dhananjaya de Silva,c sub (AL Phehlukwayo) b Maharaj,11,14,28,1,0,78.57,Sri Lanka,4th_match
Dasun Shanaka,b Maharaj,68,62,86,6,3,109.67,Sri Lanka,4th_match
Dunith Wellalage,c Klaasen b Coetzee,0,1,2,0,0,0.0,Sri Lanka,4th_match
Kasun Rajitha,c Markram b Coetzee,33,31,52,4,1,106.45,Sri Lanka,4th_match
Matheesha Pathirana,b Rabada,5,16,25,1,0,31.25,Sri Lanka,4th_match
Dilshan Madushanka,not out,4,2,4,1,0,200.0,Sri Lanka,4th_match
