bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Mitchell Starc,9.0,0,70,1,7.77,26,4,4,5,0,Australia,39th_match
Josh Hazlewood,9.0,0,39,2,4.33,30,2,1,1,0,Australia,39th_match
Glenn Maxwell,10.0,0,55,1,5.5,24,2,1,0,1,Australia,39th_match
Pat Cummins,8.0,0,47,0,5.87,25,5,1,1,0,Australia,39th_match
Adam Zampa,10.0,0,58,1,5.8,22,2,2,2,0,Australia,39th_match
Travis Head,3.0,0,15,0,5.0,7,1,0,0,0,Australia,39th_match
Marcus Stoinis,1.0,0,2,0,2.0,4,0,0,0,0,Australia,39th_match
Mujeeb Ur Rahman,8.5,1,72,0,8.15,28,8,4,0,0,Afghanistan,39th_match
Naveen0ul0Haq,9.0,0,47,2,5.22,34,5,2,1,0,Afghanistan,39th_match
Azmatullah Omarzai,7.0,1,52,2,7.42,25,7,2,1,0,Afghanistan,39th_match
Rashid Khan,10.0,0,44,2,4.4,36,3,1,3,0,Afghanistan,39th_match
Noor Ahmad,10.0,1,53,0,5.3,36,4,2,1,0,Afghanistan,39th_match
Mohammad Nabi,2.0,0,20,0,10.0,6,3,1,0,0,Afghanistan,39th_match
