batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Wesley Barresi,lbw b Mujeeb Ur Rahman,1,4,3,0,0,25.0,Netherlands,34th_match
Max O'Dowd,run out (Azmatullah Omarzai),42,40,50,9,0,105.0,Netherlands,34th_match
Colin Ackermann,run out (Rashid Khan/Ikram Alikhil),29,35,71,4,0,82.85,Netherlands,34th_match
Sybrand Engelbrecht,run out (Mohammad Nabi/Ikram Alikhil),58,86,85,6,0,67.44,Netherlands,34th_match
Scott Edwards,run out (Ikram Alikhil),0,1,1,0,0,0.0,Netherlands,34th_match
Bas de Leede,c Ikram Alikhil b Mohammad Nabi,3,6,5,0,0,50.0,Netherlands,34th_match
Saqib Zulfiqar,c Ikram Alikhil b Noor Ahmad,3,15,19,0,0,20.0,Netherlands,34th_match
Logan van Beek,st Ikram Alikhil b Mohammad Nabi,2,13,16,0,0,15.38,Netherlands,34th_match
Roelof van der Merwe,c Ibrahim Zadran b Noor Ahmad,11,33,36,0,0,33.33,Netherlands,34th_match
Aryan Dutt,not out,10,22,42,0,0,45.45,Netherlands,34th_match
Paul van Meekeren,lbw b Mohammad Nabi,4,24,18,0,0,16.66,Netherlands,34th_match
Rahmanullah Gurbaz,c Edwards b van Beek,10,11,24,2,0,90.9,Afghanistan,34th_match
Ibrahim Zadran,b van der Merwe,20,34,44,2,0,58.82,Afghanistan,34th_match
Rahmat Shah,c & b Saqib Zulfiqar,52,54,74,8,0,96.29,Afghanistan,34th_match
Hashmatullah Shahidi,not out,56,64,92,6,0,87.5,Afghanistan,34th_match
Azmatullah Omarzai,not out,31,28,38,3,0,110.71,Afghanistan,34th_match
