batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Quinton de Kock,c Phillips b Southee,114,116,176,10,3,98.27,South Africa,32nd_match
Temba Bavuma,c Mitchell b Boult,24,28,37,4,1,85.71,South Africa,32nd_match
Rassie van der Dussen,b Southee,133,118,172,9,5,112.71,South Africa,32nd_match
David Miller,c Mitchell b Neesham,53,30,48,2,4,176.66,South Africa,32nd_match
Heinrich Klaasen,not out,15,7,13,1,1,214.28,South Africa,32nd_match
Aiden Markram,not out,6,1,1,0,1,600.0,South Africa,32nd_match
Devon Conway,c Markram b Jansen,2,6,13,0,0,33.33,New Zealand,32nd_match
Will Young,c de Kock b Coetzee,33,37,50,5,0,89.18,New Zealand,32nd_match
Rachin Ravindra,c Coetzee b Jansen,9,16,28,1,0,56.25,New Zealand,32nd_match
Daryl Mitchell,c Miller b Maharaj,24,30,40,4,0,80.0,New Zealand,32nd_match
Tom Latham,c Maharaj b Rabada,4,15,18,0,0,26.66,New Zealand,32nd_match
Glenn Phillips,c Rabada b Coetzee,60,50,87,4,4,120.0,New Zealand,32nd_match
Mitchell Santner,b Maharaj,7,18,14,1,0,38.88,New Zealand,32nd_match
Tim Southee,lbw b Jansen,7,11,11,1,0,63.63,New Zealand,32nd_match
James Neesham,b Maharaj,0,8,6,0,0,0.0,New Zealand,32nd_match
Trent Boult,c Miller b Maharaj,9,14,17,1,0,64.28,New Zealand,32nd_match
Matt Henry,not out,0,9,20,0,0,0.0,New Zealand,32nd_match
