batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Rahmanullah Gurbaz,c Thakur b Pandya,21,28,65,3,1,75.0,Afghanistan,9th_match
Ibrahim Zadran,c Rahul b Bumrah,22,28,31,4,0,78.57,Afghanistan,9th_match
Rahmat Shah,lbw b Thakur,16,22,37,3,0,72.72,Afghanistan,9th_match
Hashmatullah Shahidi,lbw b Kuldeep Yadav,80,88,128,8,1,90.9,Afghanistan,9th_match
Azmatullah Omarzai,b Pandya,62,69,82,2,4,89.85,Afghanistan,9th_match
Mohammad Nabi,lbw b Bumrah,19,27,52,1,0,70.37,Afghanistan,9th_match
Najibullah Zadran,c Kohli b Bumrah,2,8,6,0,0,25.0,Afghanistan,9th_match
Rashid Khan,c Kuldeep Yadav b Bumrah,16,12,18,1,1,133.33,Afghanistan,9th_match
Mujeeb Ur Rahman,not out,10,12,22,2,0,83.33,Afghanistan,9th_match
Naveen0ul0Haq,not out,9,8,8,1,0,112.5,Afghanistan,9th_match
Rohit Sharma,b Rashid Khan,131,84,111,16,5,155.95,India,9th_match
Ishan Kishan,c Ibrahim Zadran b Rashid Khan,47,47,78,5,2,100.0,India,9th_match
Virat Kohli,not out,55,56,64,6,0,98.21,India,9th_match
Shreyas Iyer,not out,25,23,31,1,1,108.69,India,9th_match
