batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Pathum Nissanka,c Warner b Cummins,61,67,103,8,0,91.04,Sri Lanka,14th_match
Kusal Perera,b Cummins,78,82,123,12,0,95.12,Sri Lanka,14th_match
Kusal Mendis,c Warner b Zampa,9,13,27,0,0,69.23,Sri Lanka,14th_match
Sadeera Samarawickrama,lbw b Zampa,8,8,15,1,0,100.0,Sri Lanka,14th_match
Charith Asalanka,c Labuschagne b Maxwell,25,39,75,0,1,64.1,Sri Lanka,14th_match
Dhananjaya de Silva,b Starc,7,13,13,1,0,53.84,Sri Lanka,14th_match
Dunith Wellalage,run out (Cummins),2,9,9,0,0,22.22,Sri Lanka,14th_match
Chamika Karunaratne,lbw b Zampa,2,11,12,0,0,18.18,Sri Lanka,14th_match
Maheesh Theekshana,lbw b Zampa,0,5,7,0,0,0.0,Sri Lanka,14th_match
Lahiru Kumara,b Starc,4,8,6,1,0,50.0,Sri Lanka,14th_match
Dilshan Madushanka,not out,0,6,12,0,0,0.0,Sri Lanka,14th_match
Mitchell Marsh,run out (Karunaratne/Mendis),52,51,67,9,0,101.96,Australia,14th_match
David Warner,lbw b Madushanka,11,6,16,0,1,183.33,Australia,14th_match
Steven Smith,lbw b Madushanka,0,5,4,0,0,0.0,Australia,14th_match
Marnus Labuschagne,c Karunaratne b Madushanka,40,60,100,2,0,66.66,Australia,14th_match
Josh Inglis,c Theekshana b Wellalage,58,59,75,5,1,98.3,Australia,14th_match
Glenn Maxwell,not out,31,21,30,4,2,147.61,Australia,14th_match
Marcus Stoinis,not out,20,10,10,2,1,200.0,Australia,14th_match
