bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Jasprit Bumrah,10.0,0,39,4,3.9,41,5,0,3,0,India,9th_match
Mohammed Siraj,9.0,0,76,0,8.44,23,12,1,1,0,India,9th_match
Hardik Pandya,7.0,0,43,2,6.14,23,5,1,2,0,India,9th_match
Shardul Thakur,6.0,0,31,1,5.16,21,2,1,1,1,India,9th_match
Kuldeep Yadav,10.0,0,40,1,4.0,35,0,3,0,0,India,9th_match
Ravindra Jadeja,8.0,0,38,0,4.75,22,1,1,0,1,India,9th_match
Fazalhaq Farooqi,6.0,0,50,0,8.33,17,6,2,1,0,Afghanistan,9th_match
Mujeeb Ur Rahman,8.0,0,64,0,8.0,18,6,1,3,0,Afghanistan,9th_match
Naveen0ul0Haq,5.0,0,31,0,6.2,16,4,1,0,0,Afghanistan,9th_match
Azmatullah Omarzai,4.0,0,34,0,8.5,12,5,1,1,0,Afghanistan,9th_match
Mohammad Nabi,4.0,0,32,0,8.0,11,3,2,0,0,Afghanistan,9th_match
Rashid Khan,8.0,0,57,2,7.12,12,4,1,1,0,Afghanistan,9th_match
