batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
David Warner,c sub (Shadab Khan) b Haris Rauf,163,124,180,14,9,131.45,Australia,18th_match
Mitchell Marsh,c Usama Mir b Shaheen Shah Afridi,121,108,139,10,9,112.03,Australia,18th_match
Glenn Maxwell,c Babar Azam b Shaheen Shah Afridi,0,1,1,0,0,0.0,Australia,18th_match
Steven Smith,c & b Usama Mir,7,9,17,0,0,77.77,Australia,18th_match
Marcus Stoinis,lbw b Shaheen Shah Afridi,21,24,46,1,1,87.5,Australia,18th_match
Josh Inglis,c Mohammad Rizwan b Haris Rauf,13,9,10,3,0,144.44,Australia,18th_match
Marnus Labuschagne,c sub (Shadab Khan) b Haris Rauf,8,12,23,1,0,66.66,Australia,18th_match
Pat Cummins,not out,6,8,17,0,0,75.0,Australia,18th_match
Mitchell Starc,c Saud Shakeel b Shaheen Shah Afridi,2,3,3,0,0,66.66,Australia,18th_match
Josh Hazlewood,c Mohammad Rizwan b Shaheen Shah Afridi,0,1,1,0,0,0.0,Australia,18th_match
Adam Zampa,not out,1,1,4,0,0,100.0,Australia,18th_match
Abdullah Shafique,c Maxwell b Stoinis,64,61,93,7,2,104.91,Pakistan,18th_match
Imam0ul0Haq,c Starc b Stoinis,70,71,107,10,0,98.59,Pakistan,18th_match
Babar Azam,c Cummins b Zampa,18,14,27,3,0,128.57,Pakistan,18th_match
Mohammad Rizwan,lbw b Zampa,46,40,84,5,0,115.0,Pakistan,18th_match
Saud Shakeel,c Stoinis b Cummins,30,31,37,5,0,96.77,Pakistan,18th_match
Iftikhar Ahmed,lbw b Zampa,26,20,22,0,3,130.0,Pakistan,18th_match
Mohammad Nawaz,st Inglis b Zampa,14,16,19,0,1,87.5,Pakistan,18th_match
Usama Mir,c Starc b Hazlewood,0,3,4,0,0,0.0,Pakistan,18th_match
Shaheen Shah Afridi,c Labuschagne b Cummins,10,8,17,2,0,125.0,Pakistan,18th_match
Hasan Ali,c Inglis b Starc,8,8,7,2,0,100.0,Pakistan,18th_match
Haris Rauf,not out,0,1,3,0,0,0.0,Pakistan,18th_match
