bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Mitchell Starc,9.0,1,53,2,5.88,29,3,3,1,0,Australia,10th_match
Josh Hazlewood,9.0,0,60,1,6.66,30,7,2,3,0,Australia,10th_match
Glenn Maxwell,10.0,1,34,2,3.4,32,0,0,2,0,Australia,10th_match
Pat Cummins,9.0,0,71,1,7.88,19,6,3,0,0,Australia,10th_match
Adam Zampa,10.0,0,70,1,7.0,20,9,0,1,0,Australia,10th_match
Mitchell Marsh,1.0,0,6,0,6.0,1,0,0,0,0,Australia,10th_match
Marcus Stoinis,2.0,0,11,0,5.5,5,1,0,0,0,Australia,10th_match
Lungi Ngidi,8.0,2,18,1,2.25,35,0,0,1,0,South Africa,10th_match
Marco Jansen,7.0,0,54,2,7.71,24,8,0,3,1,South Africa,10th_match
Kagiso Rabada,8.0,1,33,3,4.12,35,5,0,1,1,South Africa,10th_match
Keshav Maharaj,10.0,0,30,2,3.0,40,2,0,2,0,South Africa,10th_match
Tabraiz Shamsi,7.5,0,38,2,4.85,24,4,0,0,0,South Africa,10th_match
