bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Lungi Ngidi,8.2,0,63,1,7.56,29,8,3,2,0,South Africa,37th_match
Marco Jansen,9.4,0,94,1,9.72,28,15,1,7,1,South Africa,37th_match
Kagiso Rabada,10.0,1,48,1,4.8,33,6,0,0,0,South Africa,37th_match
Keshav Maharaj,10.0,0,30,1,3.0,32,0,0,1,0,South Africa,37th_match
Tabraiz Shamsi,10.0,0,72,1,7.2,22,5,1,7,1,South Africa,37th_match
Aiden Markram,2.0,0,17,0,8.5,4,1,1,1,0,South Africa,37th_match
Jasprit Bumrah,5.0,0,14,0,2.8,23,2,0,1,0,India,37th_match
Mohammed Siraj,4.0,1,11,1,2.75,18,1,0,0,0,India,37th_match
Ravindra Jadeja,9.0,1,33,5,3.66,37,5,0,0,0,India,37th_match
Mohammed Shami,4.0,0,18,2,4.5,16,2,0,1,0,India,37th_match
Kuldeep Yadav,5.1,1,7,2,1.35,24,0,0,0,0,India,37th_match
