bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Mustafizur Rahman,9.0,0,76,0,8.44,15,7,2,2,0,Bangladesh,23rd_match
Mehidy Hasan Miraz,9.0,0,44,1,4.88,29,3,1,2,0,Bangladesh,23rd_match
Shoriful Islam,9.0,0,76,1,8.44,19,6,4,0,0,Bangladesh,23rd_match
Shakib Al Hasan,9.0,0,69,1,7.66,24,5,4,1,0,Bangladesh,23rd_match
Hasan Mahmud,6.0,0,67,2,11.16,12,3,6,1,0,Bangladesh,23rd_match
Nasum Ahmed,5.0,0,27,0,5.4,11,1,1,0,0,Bangladesh,23rd_match
Mahmudullah,3.0,0,20,0,6.66,7,1,1,1,0,Bangladesh,23rd_match
Marco Jansen,8.0,0,39,2,4.87,34,5,0,5,0,South Africa,23rd_match
Lizaad Williams,8.4,1,56,2,6.46,33,7,2,5,0,South Africa,23rd_match
Gerald Coetzee,10.0,0,62,3,6.2,36,8,2,1,1,South Africa,23rd_match
Kagiso Rabada,10.0,1,42,2,4.2,36,3,1,0,1,South Africa,23rd_match
Keshav Maharaj,10.0,0,32,1,3.2,36,2,0,1,0,South Africa,23rd_match
