bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Aryan Dutt,10.0,2,62,2,6.2,31,3,3,1,0,Netherlands,6th_match
Ryan Klein,7.0,1,41,0,5.85,25,7,0,1,0,Netherlands,6th_match
Paul van Meekeren,9.0,0,59,2,6.55,28,7,2,0,1,Netherlands,6th_match
Roelof van der Merwe,9.0,0,56,2,6.22,20,5,1,0,0,Netherlands,6th_match
Colin Ackermann,4.0,0,28,0,7.0,9,1,2,0,0,Netherlands,6th_match
Bas de Leede,10.0,0,64,1,6.4,28,6,2,0,1,Netherlands,6th_match
Vikramjit Singh,1.0,0,9,0,9.0,1,1,0,0,0,Netherlands,6th_match
Trent Boult,8.0,0,34,0,4.25,29,3,0,1,0,New Zealand,6th_match
Matt Henry,8.3,0,40,3,4.7,29,4,0,0,0,New Zealand,6th_match
Mitchell Santner,10.0,0,59,5,5.9,30,4,2,0,0,New Zealand,6th_match
Lockie Ferguson,8.0,0,32,0,4.0,31,5,0,0,0,New Zealand,6th_match
Rachin Ravindra,10.0,0,46,1,4.6,30,3,1,0,1,New Zealand,6th_match
Glenn Phillips,2.0,0,11,0,5.5,2,0,0,0,0,New Zealand,6th_match
