batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Jonny Bairstow,c de Silva b Rajitha,30,31,64,3,0,96.77,England,25th_match
Dawid Malan,c Mendis b Mathews,28,25,32,6,0,112.0,England,25th_match
Joe Root,run out (Mathews/Mendis),3,10,14,0,0,30.0,England,25th_match
Ben Stokes,c sub (MADI Hemantha) b Kumara,43,73,98,6,0,58.9,England,25th_match
Jos Buttler,c Mendis b Kumara,8,6,6,1,0,133.33,England,25th_match
Liam Livingstone,lbw b Kumara,1,6,9,0,0,16.66,England,25th_match
Moeen Ali,c Perera b Mathews,15,15,33,1,0,100.0,England,25th_match
Chris Woakes,c Samarawickrama b Rajitha,0,4,8,0,0,0.0,England,25th_match
David Willey,not out,14,17,34,1,1,82.35,England,25th_match
Adil Rashid,run out (Mendis),2,7,7,0,0,28.57,England,25th_match
Mark Wood,st Mendis b Theekshana,5,6,6,1,0,83.33,England,25th_match
Pathum Nissanka,not out,77,83,110,7,2,92.77,Sri Lanka,25th_match
Kusal Perera,c Stokes b Willey,4,5,8,1,0,80.0,Sri Lanka,25th_match
Kusal Mendis,c Buttler b Willey,11,12,15,2,0,91.66,Sri Lanka,25th_match
Sadeera Samarawickrama,not out,65,54,84,7,1,120.37,Sri Lanka,25th_match
