bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Shaheen Shah Afridi,9.0,1,23,3,2.55,40,2,0,2,0,Pakistan,31st_match
Iftikhar Ahmed,10.0,0,44,1,4.4,32,5,0,0,0,Pakistan,31st_match
Haris Rauf,8.0,0,36,2,4.5,28,3,0,2,0,Pakistan,31st_match
Mohammad Wasim,8.1,1,31,3,3.79,31,4,0,0,0,Pakistan,31st_match
Usama Mir,10.0,0,66,1,6.6,27,5,3,1,0,Pakistan,31st_match
Taskin Ahmed,6.0,1,36,0,6.0,21,2,3,0,0,Bangladesh,31st_match
Shoriful Islam,4.0,1,25,0,6.25,16,3,1,1,0,Bangladesh,31st_match
Mehidy Hasan Miraz,9.0,0,60,3,6.66,25,3,4,0,0,Bangladesh,31st_match
Mustafizur Rahman,7.0,0,47,0,6.71,23,9,0,1,0,Bangladesh,31st_match
Shakib Al Hasan,5.3,0,30,0,5.45,13,1,1,0,0,Bangladesh,31st_match
Najmul Hossain Shanto,1.0,0,5,0,5.0,4,1,0,0,0,Bangladesh,31st_match
