bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Shaheen Shah Afridi,10.0,0,90,0,9.0,24,11,2,5,0,Pakistan,35th_match
Hasan Ali,10.0,0,82,1,8.2,26,10,2,2,1,Pakistan,35th_match
Iftikhar Ahmed,8.0,0,55,1,6.87,20,8,0,0,0,Pakistan,35th_match
Haris Rauf,10.0,0,85,1,8.5,24,11,2,2,0,Pakistan,35th_match
Mohammad Wasim,10.0,0,60,3,6.0,28,4,1,3,0,Pakistan,35th_match
Agha Salman,2.0,0,21,0,10.5,3,2,1,1,0,Pakistan,35th_match
Trent Boult,6.0,0,50,0,8.33,20,7,2,2,0,New Zealand,35th_match
Tim Southee,5.0,0,27,1,5.4,17,1,2,0,0,New Zealand,35th_match
Mitchell Santner,5.0,0,35,0,7.0,13,1,3,0,0,New Zealand,35th_match
Glenn Phillips,5.0,1,42,0,8.4,13,3,3,0,0,New Zealand,35th_match
Ish Sodhi,4.0,0,44,0,11.0,6,3,3,1,0,New Zealand,35th_match
Daryl Mitchell,0.3,0,1,0,2.0,2,0,0,0,0,New Zealand,35th_match
