bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Shoriful Islam,9.3,0,51,2,5.36,33,7,0,1,0,Bangladesh,38th_match
Taskin Ahmed,10.0,1,39,0,3.9,39,5,0,1,0,Bangladesh,38th_match
Tanzim Hasan Sakib,10.0,0,80,3,8.0,27,8,4,2,0,Bangladesh,38th_match
Shakib Al Hasan,10.0,0,57,2,5.7,23,1,3,0,0,Bangladesh,38th_match
Mehidy Hasan Miraz,10.0,0,49,1,4.9,30,6,0,0,0,Bangladesh,38th_match
Dilshan Madushanka,10.0,1,69,3,6.9,35,7,3,4,0,Sri Lanka,38th_match
Maheesh Theekshana,9.0,0,44,2,4.88,34,6,0,3,0,Sri Lanka,38th_match
Kasun Rajitha,4.0,0,47,0,11.75,7,5,3,0,0,Sri Lanka,38th_match
Dushmantha Chameera,8.0,0,54,0,6.75,25,8,1,2,0,Sri Lanka,38th_match
Angelo Mathews,7.1,1,35,2,4.88,24,4,0,1,0,Sri Lanka,38th_match
Dhananjaya de Silva,3.0,0,20,0,6.66,8,3,0,0,0,Sri Lanka,38th_match
