batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Jonny Bairstow,c van Meekeren b Dutt,15,17,29,2,0,88.23,England,40th_match
Dawid Malan,run out (Edwards/van Beek),87,74,92,10,2,117.56,England,40th_match
Joe Root,b van Beek,28,35,53,1,0,80.0,England,40th_match
Ben Stokes,c Engelbrecht b van Beek,108,84,136,6,6,128.57,England,40th_match
Harry Brook,c Ackermann b de Leede,11,16,19,2,0,68.75,England,40th_match
Jos Buttler,c Nidamanuru b van Meekeren,5,11,12,0,0,45.45,England,40th_match
Moeen Ali,c de Leede b Dutt,4,15,20,0,0,26.66,England,40th_match
Chris Woakes,c Edwards b de Leede,51,45,66,5,1,113.33,England,40th_match
David Willey,c Engelbrecht b de Leede,6,2,1,0,1,300.0,England,40th_match
Gus Atkinson,not out,2,1,7,0,0,200.0,England,40th_match
Adil Rashid,not out,1,1,3,0,0,100.0,England,40th_match
Wesley Barresi,run out (Woakes/Ali),37,62,77,3,1,59.67,Netherlands,40th_match
Max O'Dowd,c Ali b Woakes,5,11,20,1,0,45.45,Netherlands,40th_match
Colin Ackermann,c Buttler b Willey,0,2,4,0,0,0.0,Netherlands,40th_match
Sybrand Engelbrecht,c Woakes b Willey,33,49,73,3,1,67.34,Netherlands,40th_match
Scott Edwards,c Malan b Ali,38,42,67,3,1,90.47,Netherlands,40th_match
Bas de Leede,b Rashid,10,12,11,2,0,83.33,Netherlands,40th_match
Teja Nidamanuru,not out,41,34,47,2,3,120.58,Netherlands,40th_match
Logan van Beek,c Malan b Rashid,2,2,3,0,0,100.0,Netherlands,40th_match
Roelof van der Merwe,c Rashid b Ali,0,4,3,0,0,0.0,Netherlands,40th_match
Aryan Dutt,b Rashid,1,3,4,0,0,33.33,Netherlands,40th_match
Paul van Meekeren,st Buttler b Ali,4,3,3,1,0,133.33,Netherlands,40th_match
