batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Jonny Bairstow,c Mitchell b Santner,33,35,57,4,1,94.28,England,1st_match
Dawid Malan,c Latham b Henry,14,24,36,2,0,58.33,England,1st_match
Joe Root,b Phillips,77,86,140,4,1,89.53,England,1st_match
Harry Brook,c Conway b Ravindra,25,16,20,4,1,156.25,England,1st_match
Moeen Ali,b Phillips,11,17,20,1,0,64.7,England,1st_match
Jos Buttler,c Latham b Henry,43,42,48,2,2,102.38,England,1st_match
Liam Livingstone,c Henry b Boult,20,22,23,3,0,90.9,England,1st_match
Sam Curran,c Latham b Henry,14,19,30,0,0,73.68,England,1st_match
Chris Woakes,c Young b Santner,11,12,15,1,0,91.66,England,1st_match
Adil Rashid,not out,15,13,23,0,1,115.38,England,1st_match
Mark Wood,not out,13,14,19,0,0,92.85,England,1st_match
Devon Conway,not out,152,121,147,19,3,125.61,New Zealand,1st_match
Will Young,c Buttler b Curran,0,1,5,0,0,0.0,New Zealand,1st_match
Rachin Ravindra,not out,123,96,141,11,5,128.12,New Zealand,1st_match
