batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Mitchell Marsh,c Ackermann b van Beek,9,15,15,2,0,60.0,Australia,24th_match
David Warner,c Dutt b van Beek,104,93,182,11,3,111.82,Australia,24th_match
Steven Smith,c van der Merwe b Dutt,71,68,88,9,1,104.41,Australia,24th_match
Marnus Labuschagne,c Dutt b de Leede,62,47,60,7,2,131.91,Australia,24th_match
Josh Inglis,c Engelbrecht b de Leede,14,12,12,1,1,116.66,Australia,24th_match
Glenn Maxwell,c Engelbrecht b van Beek,106,44,53,9,8,240.9,Australia,24th_match
Cameron Green,run out (Engelbrecht),8,11,15,1,0,72.72,Australia,24th_match
Pat Cummins,not out,12,9,39,2,0,133.33,Australia,24th_match
Mitchell Starc,c Ackermann b van Beek,0,1,1,0,0,0.0,Australia,24th_match
Adam Zampa,not out,1,1,2,0,0,100.0,Australia,24th_match
Vikramjit Singh,run out (Maxwell),25,25,28,6,0,100.0,Netherlands,24th_match
Max O'Dowd,b Starc,6,9,21,1,0,66.66,Netherlands,24th_match
Colin Ackermann,lbw b Hazlewood,10,11,21,2,0,90.9,Netherlands,24th_match
Sybrand Engelbrecht,c Warner b Marsh,11,21,36,1,0,52.38,Netherlands,24th_match
Bas de Leede,lbw b Cummins,4,7,7,1,0,57.14,Netherlands,24th_match
Scott Edwards,not out,12,22,53,0,0,54.54,Netherlands,24th_match
Teja Nidamanuru,c Inglis b Marsh,14,18,19,2,0,77.77,Netherlands,24th_match
Logan van Beek,c Inglis b Zampa,0,3,3,0,0,0.0,Netherlands,24th_match
Roelof van der Merwe,lbw b Zampa,0,1,1,0,0,0.0,Netherlands,24th_match
Aryan Dutt,lbw b Zampa,1,8,9,0,0,12.5,Netherlands,24th_match
Paul van Meekeren,st Inglis b Zampa,0,1,2,0,0,0.0,Netherlands,24th_match
