batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Tanzid Hasan,lbw b Kuldeep Yadav,51,43,75,5,3,118.6,Bangladesh,17th_match
Litton Das,c Shubman Gill b Jadeja,66,82,124,7,0,80.48,Bangladesh,17th_match
Najmul Hossain Shanto,lbw b Jadeja,8,17,18,0,0,47.05,Bangladesh,17th_match
Mehidy Hasan Miraz,c Rahul b Mohammed Siraj,3,13,15,0,0,23.07,Bangladesh,17th_match
Towhid Hridoy,c Shubman Gill b Thakur,16,35,54,0,0,45.71,Bangladesh,17th_match
Mushfiqur Rahim,c Jadeja b Bumrah,38,46,60,1,1,82.6,Bangladesh,17th_match
Mahmudullah,b Bumrah,46,36,60,3,3,127.77,Bangladesh,17th_match
Nasum Ahmed,c Rahul b Mohammed Siraj,14,18,21,2,0,77.77,Bangladesh,17th_match
Mustafizur Rahman,not out,1,7,19,0,0,14.28,Bangladesh,17th_match
Shoriful Islam,not out,7,3,2,0,1,233.33,Bangladesh,17th_match
Rohit Sharma,c Towhid Hridoy b Hasan Mahmud,48,40,51,7,2,120.0,India,17th_match
Shubman Gill,c Mahmudullah b Mehidy Hasan Miraz,53,55,80,5,2,96.36,India,17th_match
Virat Kohli,not out,103,97,113,6,4,106.18,India,17th_match
Shreyas Iyer,c Mahmudullah b Mehidy Hasan Miraz,19,25,38,2,0,76.0,India,17th_match
KL Rahul,not out,34,34,44,3,1,100.0,India,17th_match
