bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Mujeeb Ur Rahman,10.0,0,57,1,5.7,32,4,2,1,0,Afghanistan,16th_match
Fazalhaq Farooqi,7.0,1,39,0,5.57,23,2,2,2,0,Afghanistan,16th_match
Naveen0ul0Haq,8.0,0,48,2,6.0,17,4,0,0,0,Afghanistan,16th_match
Mohammad Nabi,8.0,1,41,0,5.12,30,1,4,0,0,Afghanistan,16th_match
Rashid Khan,10.0,0,43,1,4.3,35,4,0,2,0,Afghanistan,16th_match
Azmatullah Omarzai,7.0,0,56,2,8.0,17,4,3,0,1,Afghanistan,16th_match
Trent Boult,7.0,1,18,2,2.57,32,1,0,2,0,New Zealand,16th_match
Matt Henry,5.0,2,16,1,3.2,22,1,1,0,0,New Zealand,16th_match
Mitchell Santner,7.4,0,39,3,5.08,24,3,1,1,0,New Zealand,16th_match
Lockie Ferguson,7.0,1,19,3,2.71,32,2,0,1,0,New Zealand,16th_match
Glenn Phillips,3.0,0,13,0,4.33,7,0,0,1,0,New Zealand,16th_match
Rachin Ravindra,5.0,0,34,1,6.8,11,4,0,0,0,New Zealand,16th_match
