batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Rahmanullah Gurbaz,c Tanzid Hasan b Mustafizur Rahman,47,62,112,4,1,75.8,Afghanistan,3rd_match
Ibrahim Zadran,c Tanzid Hasan b Shakib Al Hasan,22,25,41,3,1,88.0,Afghanistan,3rd_match
Rahmat Shah,c Litton Das b Shakib Al Hasan,18,25,30,1,0,72.0,Afghanistan,3rd_match
Hashmatullah Shahidi,c Towhid Hridoy b Mehidy Hasan Miraz,18,38,34,2,0,47.36,Afghanistan,3rd_match
Najibullah Zadran,b Shakib Al Hasan,5,13,16,0,0,38.46,Afghanistan,3rd_match
Mohammad Nabi,b Taskin Ahmed,6,12,19,0,0,50.0,Afghanistan,3rd_match
Azmatullah Omarzai,b Shoriful Islam,22,20,32,4,0,110.0,Afghanistan,3rd_match
Rashid Khan,b Mehidy Hasan Miraz,9,16,16,1,0,56.25,Afghanistan,3rd_match
Mujeeb Ur Rahman,b Mehidy Hasan Miraz,1,4,9,0,0,25.0,Afghanistan,3rd_match
Naveen0ul0Haq,c Towhid Hridoy b Shoriful Islam,0,6,8,0,0,0.0,Afghanistan,3rd_match
Fazalhaq Farooqi,not out,0,3,3,0,0,0.0,Afghanistan,3rd_match
Tanzid Hasan,run out (Najibullah Zadran),5,13,19,1,0,38.46,Bangladesh,3rd_match
Litton Das,b Fazalhaq Farooqi,13,18,29,2,0,72.22,Bangladesh,3rd_match
Mehidy Hasan Miraz,c Rahmat Shah b Naveen0ul0Haq,57,73,89,5,0,78.08,Bangladesh,3rd_match
Najmul Hossain Shanto,not out,59,83,112,3,1,71.08,Bangladesh,3rd_match
Shakib Al Hasan,c Fazalhaq Farooqi b Azmatullah Omarzai,14,19,24,2,0,73.68,Bangladesh,3rd_match
Mushfiqur Rahim,not out,2,3,6,0,0,66.66,Bangladesh,3rd_match
