batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Pathum Nissanka,c Rahmanullah Gurbaz b Azmatullah Omarzai,46,60,82,5,0,76.66,Sri Lanka,30th_match
Dimuth Karunaratne,lbw b Fazalhaq Farooqi,15,21,25,1,0,71.42,Sri Lanka,30th_match
Kusal Mendis,c sub (Najibullah Zadran) b Mujeeb Ur Rahman,39,50,91,3,0,78.0,Sri Lanka,30th_match
Sadeera Samarawickrama,lbw b Mujeeb Ur Rahman,36,40,42,3,0,90.0,Sri Lanka,30th_match
Charith Asalanka,c Rashid Khan b Fazalhaq Farooqi,22,28,48,2,0,78.57,Sri Lanka,30th_match
Dhananjaya de Silva,b Rashid Khan,14,26,24,1,0,53.84,Sri Lanka,30th_match
Angelo Mathews,c Mohammad Nabi b Fazalhaq Farooqi,23,26,61,1,1,88.46,Sri Lanka,30th_match
Dushmantha Chameera,run out (Ibrahim Zadran),1,4,5,0,0,25.0,Sri Lanka,30th_match
Maheesh Theekshana,b Fazalhaq Farooqi,29,31,31,3,1,93.54,Sri Lanka,30th_match
Kasun Rajitha,run out (Rahmanullah Gurbaz),5,7,14,0,0,71.42,Sri Lanka,30th_match
Dilshan Madushanka,not out,0,4,5,0,0,0.0,Sri Lanka,30th_match
Rahmanullah Gurbaz,b Madushanka,0,4,2,0,0,0.0,Afghanistan,30th_match
Ibrahim Zadran,c Karunaratne b Madushanka,39,57,73,4,1,68.42,Afghanistan,30th_match
Rahmat Shah,c Karunaratne b Rajitha,62,74,121,7,0,83.78,Afghanistan,30th_match
Hashmatullah Shahidi,not out,58,74,132,2,1,78.37,Afghanistan,30th_match
Azmatullah Omarzai,not out,73,63,80,6,3,115.87,Afghanistan,30th_match
